,5d9202439796b3001772abb1
PlayerDetails,5d9202439796b3001772abb1
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:08:57 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RT
FishN,14
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.681
Pond10Fish1_PondTime,8.01
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.389
Type,RT
FishN,14
Fish,2
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.188
Pond10Fish2_PondTime,14.369
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,30
Pond10Fish2_TimeLeft,1188.029
Type,RT
FishN,14
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.565
Pond10Fish3_PondTime,21.015
Pond10Fish3_PondOutcome,50
Pond10Fish3_TotalOutcome,50
Pond10Fish3_TimeLeft,1181.384
Type,RT
FishN,14
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.913
Pond10Fish4_PondTime,27.988
Pond10Fish4_PondOutcome,60
Pond10Fish4_TotalOutcome,60
Pond10Fish4_TimeLeft,1174.411
Type,RT
FishN,14
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.821
Pond10Fish5_PondTime,35.349
Pond10Fish5_PondOutcome,70
Pond10Fish5_TotalOutcome,70
Pond10Fish5_TimeLeft,1167.05
Type,RT
FishN,14
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.764
Pond10Fish6_PondTime,43.16
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,80
Pond10Fish6_TimeLeft,1159.239
Type,RT
FishN,14
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.762
Pond10Fish7_PondTime,51.52
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,90
Pond10Fish7_TimeLeft,1150.879
Type,RT
FishN,14
Fish,8
