,5dac63da21420b0014a509c1
PlayerDetails,5dac63da21420b0014a509c1
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,12
Pond12_Type,N
Pond12_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,17
Pond4_Type,N
Pond4_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:28:09 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.392
Pond5Fish1_PondTime,7.828
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1194.569
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.092
Pond5Fish2_PondTime,13.991
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,22
Pond5Fish2_TimeLeft,1188.407
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.681
Pond5Fish3_PondTime,20.411
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,33
Pond5Fish3_TimeLeft,1181.986
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.255
Pond5Fish4_PondTime,27.128
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,44
Pond5Fish4_TimeLeft,1175.269
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.173
Pond5Fish5_PondTime,34.158
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,55
Pond5Fish5_TimeLeft,1168.24
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.844
Pond5Fish6_PondTime,41.576
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,66
Pond5Fish6_TimeLeft,1160.821
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.114
Pond5Fish7_PondTime,49.434
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,77
Pond5Fish7_TimeLeft,1152.964
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.138
Pond5Fish8_PondTime,57.837
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,88
Pond5Fish8_TimeLeft,1144.561
PondEnd_LastFish,8
FishN,18
Type,N
GiveUpTime,1.063
PondTime,58.237
TimeLeft,1143.653
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,18.638462908565998
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.312
Pond1Fish1_PondTime,8.598
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,99
Pond1Fish1_TimeLeft,1115.726
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.162
Pond1Fish2_PondTime,15.627
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,110
Pond1Fish2_TimeLeft,1108.696
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.177
Pond1Fish3_PondTime,23.031
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,121
Pond1Fish3_TimeLeft,1101.292
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.198
Pond1Fish4_PondTime,30.888
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,132
Pond1Fish4_TimeLeft,1093.436
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.358
Pond1Fish5_PondTime,39.292
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,143
Pond1Fish5_TimeLeft,1085.032
Type,N
FishN,18
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.133
Pond1Fish6_PondTime,48.367
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,154
Pond1Fish6_TimeLeft,1075.957
Type,N
FishN,18
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.208
Pond1Fish7_PondTime,58.301
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,165
Pond1Fish7_TimeLeft,1066.023
Type,N
FishN,18
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.179
Pond1Fish8_PondTime,69.281
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,176
Pond1Fish8_TimeLeft,1055.041
Type,N
FishN,18
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.179
Pond1Fish9_PondTime,81.684
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,187
Pond1Fish9_TimeLeft,1042.639
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,1.029
PondTime,82.091
TimeLeft,1041.72
PondOutcome,99
TotalOutcome,187
PondStart,PondStart
PondIntroTime,14.321011952124536
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.192
Pond11Fish1_PondTime,9.803
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,197
Pond11Fish1_TimeLeft,1016.961
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.942
Pond11Fish2_PondTime,18.456
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,207
Pond11Fish2_TimeLeft,1008.308
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.828
Pond11Fish3_PondTime,27.516
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,217
Pond11Fish3_TimeLeft,999.248
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.122
Pond11Fish4_PondTime,37.435
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,227
Pond11Fish4_TimeLeft,989.329
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.298
Pond11Fish5_PondTime,48.4
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,237
Pond11Fish5_TimeLeft,978.364
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,0.961
Pond11Fish6_PondTime,60.818
