,5dc2e7b7e4f0ff203937fa12
PlayerDetails,5dc2e7b7e4f0ff203937fa12
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,17
Pond6_Type,RD
Pond6_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:28:35 GMT+0000 (GMT)
Type,RT
FishN,18
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.039
Pond2Fish1_PondTime,8.026
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1194.373
Type,RT
FishN,18
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.946
Pond2Fish2_PondTime,14.391
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1188.008
Type,RT
FishN,18
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.871
Pond2Fish3_PondTime,21.042
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1181.357
Type,RT
FishN,18
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.967
Pond2Fish4_PondTime,28.024
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1174.375
Type,RT
FishN,18
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.336
Pond2Fish5_PondTime,35.392
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1167.007
Type,RT
FishN,18
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.812
Pond2Fish6_PondTime,43.209
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,60
Pond2Fish6_TimeLeft,1159.19
Type,RT
FishN,18
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.626
Pond2Fish7_PondTime,51.575
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,70
Pond2Fish7_TimeLeft,1150.824
Type,RT
FishN,18
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.165
Pond2Fish8_PondTime,60.609
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,80
Pond2Fish8_TimeLeft,1141.79
Type,RT
FishN,18
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.899
Pond2Fish9_PondTime,70.473
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,90
Pond2Fish9_TimeLeft,1131.926
Type,RT
FishN,18
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,1.172
Pond2Fish10_PondTime,81.408
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,100
Pond2Fish10_TimeLeft,1120.991
Type,RT
FishN,18
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.996
Pond2Fish11_PondTime,93.775
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,110
Pond2Fish11_TimeLeft,1108.624
Type,RT
FishN,18
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,10
Pond2Fish12_CatchTime,1.202
Pond2Fish12_PondTime,108.144
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,120
Pond2Fish12_TimeLeft,1094.255
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,2.318
PondTime,109.875
TimeLeft,1092.02
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,16.329650927800685
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.148
Pond11Fish1_PondTime,9.734
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,130
Pond11Fish1_TimeLeft,1065.338
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.879
Pond11Fish2_PondTime,18.282
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,140
Pond11Fish2_TimeLeft,1056.79
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.9
Pond11Fish3_PondTime,27.316
