,5df66fb577f86547ea42b8b2
PlayerDetails,5df66fb577f86547ea42b8b2
GameCompleted,declined
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,17
Pond10_Type,RT
Pond10_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:39:59 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.281
Pond9Fish1_PondTime,9.332
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.058
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.032
Pond9Fish2_PondTime,17.19
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1185.2
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.921
Pond9Fish3_PondTime,25.609
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1176.781
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.934
Pond9Fish4_PondTime,34.664
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1167.726
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.915
Pond9Fish5_PondTime,44.546
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1157.844
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.081
Pond9Fish6_PondTime,55.51
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1146.88
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.964
Pond9Fish7_PondTime,67.909
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,77
Pond9Fish7_TimeLeft,1134.481
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,0.796
Pond9Fish8_PondTime,82.292
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,88
Pond9Fish8_TimeLeft,1120.098
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,0.883
Pond9Fish9_PondTime,99.683
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,99
Pond9Fish9_TimeLeft,1102.708
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,7.795
PondTime,106.556
TimeLeft,1095.308
PondOutcome,99
TotalOutcome,99
PondStart,PondStart
PondIntroTime,19.53839073656127
Type,RD
FishN,18
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,0.939
Pond8Fish1_PondTime,8.069
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,111
Pond8Fish1_TimeLeft,1067.045
Type,RD
FishN,18
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.011
Pond8Fish2_PondTime,14.449
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,123
Pond8Fish2_TimeLeft,1060.666
Type,RD
FishN,18
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.891
Pond8Fish3_PondTime,21.114
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,125
Pond8Fish3_TimeLeft,1054.001
Type,RD
FishN,18
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,0.893
Pond8Fish4_PondTime,28.13
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,137
Pond8Fish4_TimeLeft,1046.985
Type,RD
FishN,18
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.026
Pond8Fish5_PondTime,35.522
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,149
Pond8Fish5_TimeLeft,1039.593
Type,RD
FishN,18
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,0.956
Pond8Fish6_PondTime,43.375
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,161
Pond8Fish6_TimeLeft,1031.739
Type,RD
FishN,18
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,0.894
Pond8Fish7_PondTime,51.753
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,173
Pond8Fish7_TimeLeft,1023.361
Type,RD
FishN,18
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,0.927
Pond8Fish8_PondTime,60.801
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,185
Pond8Fish8_TimeLeft,1014.313
Type,RD
FishN,18
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,0.957
Pond8Fish9_PondTime,70.711
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,197
Pond8Fish9_TimeLeft,1004.403
Type,RD
FishN,18
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,0.935
Pond8Fish10_PondTime,81.681
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,209
Pond8Fish10_TimeLeft,993.434
Type,RD
FishN,18
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,8.571428571428571
Pond8Fish11_CatchTime,1.037
Pond8Fish11_PondTime,94.066
Pond8Fish11_PondOutcome,122
Pond8Fish11_TotalOutcome,221
Pond8Fish11_TimeLeft,981.048
Type,RD
FishN,18
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,10
Pond8Fish12_CatchTime,0.933
Pond8Fish12_PondTime,108.453
Pond8Fish12_PondOutcome,134
Pond8Fish12_TotalOutcome,233
Pond8Fish12_TimeLeft,966.661
Type,RD
FishN,18
Fish,13
Pond8Fish13_FishType,gray
Pond8Fish13_FishLatency,12
Pond8Fish13_CatchTime,2.43
Pond8Fish13_PondTime,126.635
Pond8Fish13_PondOutcome,136
Pond8Fish13_TotalOutcome,235
Pond8Fish13_TimeLeft,948.48
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,19.048
PondTime,145.584
TimeLeft,929.025
PondOutcome,136
TotalOutcome,235
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,19.514
PondTime,146.05
TimeLeft,928.549
PondOutcome,136
TotalOutcome,235
PondStart,PondStart
PondIntroTime,13.570815385319293
PondStart,PondStart
PondIntroTime,13.570815385319293
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.002
Pond7Fish2_PondTime,8.922
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,246
Pond7Fish2_TimeLeft,905.517
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,8.926
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,246
Pond7Fish2_TimeLeft,905.513
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.954
Pond7Fish4_PondTime,16.756
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,257
Pond7Fish4_TimeLeft,897.684
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,16.759
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,257
Pond7Fish4_TimeLeft,897.681
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.928
Pond7Fish6_PondTime,25.822
Pond7Fish6_PondOutcome,33
Pond7Fish6_TotalOutcome,268
Pond7Fish6_TimeLeft,888.617
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,25.831
Pond7Fish6_PondOutcome,33
Pond7Fish6_TotalOutcome,268
Pond7Fish6_TimeLeft,888.607
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.981
Pond7Fish8_PondTime,36.78
Pond7Fish8_PondOutcome,44
Pond7Fish8_TotalOutcome,279
Pond7Fish8_TimeLeft,877.659
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,-1
Pond7Fish8_PondTime,36.791
Pond7Fish8_PondOutcome,44
Pond7Fish8_TotalOutcome,279
Pond7Fish8_TimeLeft,877.648
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,0.965
Pond7Fish10_PondTime,51.19
Pond7Fish10_PondOutcome,55
Pond7Fish10_TotalOutcome,290
Pond7Fish10_TimeLeft,863.25
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,-1
Pond7Fish10_PondTime,51.193
Pond7Fish10_PondOutcome,55
Pond7Fish10_TotalOutcome,290
Pond7Fish10_TimeLeft,863.245
Type,N
FishN,12
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,0.978
Pond7Fish12_PondTime,73.57
Pond7Fish12_PondOutcome,66
Pond7Fish12_TotalOutcome,301
Pond7Fish12_TimeLeft,840.867
Type,N
FishN,12
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,-1
Pond7Fish12_PondTime,73.575
Pond7Fish12_PondOutcome,66
Pond7Fish12_TotalOutcome,301
Pond7Fish12_TimeLeft,840.864
