,5e2180f70e01cd000d9f79ed
PlayerDetails,5e2180f70e01cd000d9f79ed
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:24:05 GMT+0000 (Ora del meridiano di Greenwich)
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.134
Pond7Fish1_PondTime,7.596
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1194.803
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.147
Pond7Fish2_PondTime,13.495
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1188.904
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.76
Pond7Fish3_PondTime,19.676
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1182.723
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,0.975
Pond7Fish4_PondTime,26.042
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1176.357
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.99
Pond7Fish5_PondTime,32.693
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1169.706
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.055
