,5e226aee28b7b6533126bcee
PlayerDetails,5e226aee28b7b6533126bcee
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,15
Pond1_Type,RT
Pond1_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,13
Pond10_Type,RD
Pond10_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,19
Pond8_Type,N
Pond8_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 03:26:53 GMT-0600 (Central Standard Time)
Type,RD
FishN,15
Fish,1
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,7.865
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,0
Pond11Fish1_TimeLeft,1194.535
Type,RD
FishN,15
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,14.049
Pond11Fish2_PondOutcome,0
Pond11Fish2_TotalOutcome,0
Pond11Fish2_TimeLeft,1188.351
Type,RD
FishN,15
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.075
Pond11Fish3_PondTime,20.417
Pond11Fish3_PondOutcome,12
Pond11Fish3_TotalOutcome,12
Pond11Fish3_TimeLeft,1181.983
Type,RD
FishN,15
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.794
Pond11Fish4_PondTime,27.066
Pond11Fish4_PondOutcome,24
Pond11Fish4_TotalOutcome,24
Pond11Fish4_TimeLeft,1175.334
Type,RD
FishN,15
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.9
Pond11Fish5_PondTime,34.049
Pond11Fish5_PondOutcome,36
Pond11Fish5_TotalOutcome,36
Pond11Fish5_TimeLeft,1168.351
Type,RD
FishN,15
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.132
Pond11Fish6_PondTime,41.416
Pond11Fish6_PondOutcome,48
Pond11Fish6_TotalOutcome,48
Pond11Fish6_TimeLeft,1160.984
Type,RD
FishN,15
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.738
Pond11Fish7_PondTime,49.235
Pond11Fish7_PondOutcome,60
Pond11Fish7_TotalOutcome,60
Pond11Fish7_TimeLeft,1153.165
Type,RD
FishN,15
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.094
Pond11Fish8_PondTime,57.6
Pond11Fish8_PondOutcome,72
Pond11Fish8_TotalOutcome,72
Pond11Fish8_TimeLeft,1144.8
PondEnd_LastFish,8
FishN,18
Type,RD
GiveUpTime,1.386
PondTime,58.285
TimeLeft,1143.614
PondOutcome,72
TotalOutcome,72
PondStart,PondStart
PondIntroTime,18.92449203878641
Type,RT
FishN,18
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.014
Pond2Fish1_PondTime,8.267
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,82
Pond2Fish1_TimeLeft,1115.8
Type,RT
FishN,18
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.806
Pond2Fish2_PondTime,14.918
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,92
Pond2Fish2_TimeLeft,1109.148
Type,RT
FishN,18
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.058
Pond2Fish3_PondTime,21.901
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,102
Pond2Fish3_TimeLeft,1102.166
Type,RT
FishN,18
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.803
Pond2Fish4_PondTime,29.268
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,112
Pond2Fish4_TimeLeft,1094.799
Type,RT
FishN,18
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.273
