,58752a4b2bd3c90001859e1d
PlayerDetails,58752a4b2bd3c90001859e1d
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,15
Pond8_Type,RD
Pond8_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 12:45:49 GMT+0000 (GMT)
Type,N
FishN,17
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.029
Pond6Fish1_PondTime,8.264
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1194.136
Type,N
FishN,17
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.401
Pond6Fish2_PondTime,14.914
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1187.486
Type,N
FishN,17
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.361
Pond6Fish3_PondTime,21.887
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1180.513
Type,N
FishN,17
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.203
Pond6Fish4_PondTime,29.257
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1173.143
Type,N
FishN,17
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.321
Pond6Fish5_PondTime,37.074
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1165.326
Type,N
FishN,17
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.117
Pond6Fish6_PondTime,45.431
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1156.968
Type,N
FishN,17
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,1.303
Pond6Fish7_PondTime,54.454
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,77
Pond6Fish7_TimeLeft,1147.946
Type,N
FishN,17
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6.666666666666667
Pond6Fish8_CatchTime,0.804
Pond6Fish8_PondTime,64.311
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,88
Pond6Fish8_TimeLeft,1138.089
Type,N
FishN,17
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,7.5
Pond6Fish9_CatchTime,1.169
Pond6Fish9_PondTime,75.24
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,99
Pond6Fish9_TimeLeft,1127.16
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.916
PondTime,75.535
TimeLeft,1126.362
PondOutcome,99
TotalOutcome,99
PondStart,PondStart
PondIntroTime,19.859360835980624
Type,RD
FishN,16
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.585
Pond2Fish1_PondTime,8.883
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,111
Pond2Fish1_TimeLeft,1096.986
Type,RD
FishN,16
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.15
Pond2Fish2_PondTime,16.255
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,123
