,59a734ce0c87a000017481ed
PlayerDetails,59a734ce0c87a000017481ed
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,13
Pond7_Type,RD
Pond7_#Fishes,17
Pond1_Type,RT
Pond1_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,19
Pond10_Type,N
Pond10_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 12:50:32 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,17
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.062
Pond5Fish1_PondTime,9.923
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1192.47
Type,RT
FishN,17
Fish,2
Pond5Fish2_FishType,golden
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.081
Pond5Fish2_PondTime,18.354
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,30
Pond5Fish2_TimeLeft,1184.041
Type,RT
FishN,17
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.827
Pond5Fish3_PondTime,27.562
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,40
Pond5Fish3_TimeLeft,1174.833
Type,RT
FishN,17
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.087
Pond5Fish4_PondTime,37.605
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,50
Pond5Fish4_TimeLeft,1164.79
Type,RT
FishN,17
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.994
Pond5Fish5_PondTime,48.643
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,60
Pond5Fish5_TimeLeft,1153.751
Type,RT
FishN,17
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.008
Pond5Fish6_PondTime,61.047
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,70
Pond5Fish6_TimeLeft,1141.348
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.531
PondTime,75.536
TimeLeft,1126.21
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,18.03255463251844
Type,N
FishN,16
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.962
Pond2Fish1_PondTime,8.52
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,81
Pond2Fish1_TimeLeft,1098.355
Type,N
FishN,16
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.003
Pond2Fish2_PondTime,15.179
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,92
Pond2Fish2_TimeLeft,1091.696
Type,N
FishN,16
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.37
Pond2Fish3_PondTime,22.223
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,103
Pond2Fish3_TimeLeft,1084.652
Type,N
FishN,16
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.747
Pond2Fish4_PondTime,29.643
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,114
Pond2Fish4_TimeLeft,1077.232
Type,N
FishN,16
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.201
Pond2Fish5_PondTime,37.575
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,125
Pond2Fish5_TimeLeft,1069.299
Type,N
FishN,16
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,-1
Pond2Fish6_PondTime,46.151
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,125
Pond2Fish6_TimeLeft,1060.724
Type,N
FishN,16
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.145
Pond2Fish7_PondTime,55.358
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,136
Pond2Fish7_TimeLeft,1051.517
PondEnd_LastFish,7
FishN,16
Type,N
GiveUpTime,4.452
PondTime,59.18
TimeLeft,1047.185
PondOutcome,66
TotalOutcome,136
PondStart,PondStart
PondIntroTime,10.782757359556854
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.922
Pond3Fish1_PondTime,9.301
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,146
Pond3Fish1_TimeLeft,1026.391
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.155
Pond3Fish2_PondTime,17.162
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,156
Pond3Fish2_TimeLeft,1018.529
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.906
Pond3Fish3_PondTime,25.531
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,166
Pond3Fish3_TimeLeft,1010.161
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.157
Pond3Fish4_PondTime,34.629
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,176
Pond3Fish4_TimeLeft,1001.063
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.778
Pond3Fish5_PondTime,44.546
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,186
Pond3Fish5_TimeLeft,991.146
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,1.207
PondTime,44.703
TimeLeft,990.43
PondOutcome,50
TotalOutcome,186
PondStart,PondStart
PondIntroTime,13.937945666257292
Type,RD
FishN,12
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.069
Pond7Fish1_PondTime,8.041
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,198
Pond7Fish1_TimeLeft,967.79
Type,RD
FishN,12
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.834
Pond7Fish2_PondTime,14.548
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,210
Pond7Fish2_TimeLeft,961.283
Type,RD
FishN,12
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.976
Pond7Fish3_PondTime,21.248
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,222
Pond7Fish3_TimeLeft,954.582
Type,RD
FishN,12
Fish,4
