,5ace877e0527ba0001c28efc
PlayerDetails,5ace877e0527ba0001c28efc
GameCompleted,declined
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:02:49 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,16
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.22
Pond2Fish1_PondTime,9.771
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1192.626
Type,RT
FishN,16
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.122
Pond2Fish2_PondTime,18.188
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1184.209
Type,RT
FishN,16
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,27.331
Pond2Fish3_PondOutcome,20
Pond2Fish3_TotalOutcome,20
Pond2Fish3_TimeLeft,1175.066
Type,RT
FishN,16
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.05
Pond2Fish4_PondTime,37.252
Pond2Fish4_PondOutcome,30
Pond2Fish4_TotalOutcome,30
Pond2Fish4_TimeLeft,1165.145
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,3.644
PondTime,40.141
TimeLeft,1161.747
PondOutcome,30
TotalOutcome,30
PondStart,PondStart
PondIntroTime,12.185805945191532
Type,N
FishN,17
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.303
Pond5Fish1_PondTime,9.818
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,41
Pond5Fish1_TimeLeft,1139.104
Type,N
FishN,17
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.369
Pond5Fish2_PondTime,18.224
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,52
Pond5Fish2_TimeLeft,1130.698
Type,N
FishN,17
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.931
Pond5Fish3_PondTime,27.3
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,63
Pond5Fish3_TimeLeft,1121.622
Type,N
FishN,17
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.002
Pond5Fish4_PondTime,37.217
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,74
Pond5Fish4_TimeLeft,1111.705
Type,N
FishN,17
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.271
Pond5Fish5_PondTime,48.176
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,85
Pond5Fish5_TimeLeft,1100.746
Type,N
FishN,17
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.623
Pond5Fish6_PondTime,60.573
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,96
Pond5Fish6_TimeLeft,1088.349
Type,N
FishN,17
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.964
Pond5Fish7_PondTime,74.985
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,107
Pond5Fish7_TimeLeft,1073.937
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,11.11
PondTime,85.248
TimeLeft,1063.169
PondOutcome,77
TotalOutcome,107
PondStart,PondStart
PondIntroTime,10.925944778136909
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,8.113
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,107
Pond7Fish1_TimeLeft,1043.498
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.41
Pond7Fish2_PondTime,14.512
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,118
Pond7Fish2_TimeLeft,1037.099
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.178
Pond7Fish3_PondTime,21.203
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,129
Pond7Fish3_TimeLeft,1030.408
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,28.292
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,129
Pond7Fish4_TimeLeft,1023.318
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.294
Pond7Fish5_PondTime,35.692
Pond7Fish5_PondOutcome,33
Pond7Fish5_TotalOutcome,140
Pond7Fish5_TimeLeft,1015.918
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,43.606
Pond7Fish6_PondOutcome,33
Pond7Fish6_TotalOutcome,140
Pond7Fish6_TimeLeft,1008.005
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.251
Pond7Fish7_PondTime,52.03
Pond7Fish7_PondOutcome,44
Pond7Fish7_TotalOutcome,151
Pond7Fish7_TimeLeft,999.58
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
