,5c3764a08cfec40001c063ad
PlayerDetails,5c3764a08cfec40001c063ad
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,14
Pond10_Type,N
Pond10_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:08:43 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.01
Pond6Fish1_PondTime,8.033
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.366
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.57
Pond6Fish2_PondTime,14.405
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1187.994
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.758
Pond6Fish3_PondTime,21.052
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
Pond6Fish3_TimeLeft,1181.347
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.017
Pond6Fish4_PondTime,28.037
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,40
Pond6Fish4_TimeLeft,1174.362
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.738
Pond6Fish5_PondTime,35.406
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1166.993
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.424
Pond6Fish6_PondTime,43.226
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,60
Pond6Fish6_TimeLeft,1159.173
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.851
Pond6Fish7_PondTime,51.596
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,70
Pond6Fish7_TimeLeft,1150.803
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.241
Pond6Fish8_PondTime,60.63
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,80
Pond6Fish8_TimeLeft,1141.769
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.176
Pond6Fish9_PondTime,70.484
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,90
Pond6Fish9_TimeLeft,1131.915
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.949
Pond6Fish10_PondTime,81.42
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,100
Pond6Fish10_TimeLeft,1120.979
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.375
Pond6Fish11_PondTime,93.775
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,110
Pond6Fish11_TimeLeft,1108.624
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.128
Pond6Fish12_PondTime,108.13
Pond6Fish12_PondOutcome,120
Pond6Fish12_TotalOutcome,120
Pond6Fish12_TimeLeft,1094.269
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,1.121
Pond6Fish13_PondTime,125.486
Pond6Fish13_PondOutcome,130
Pond6Fish13_TotalOutcome,130
Pond6Fish13_TimeLeft,1076.913
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,10.341
PondTime,135.158
TimeLeft,1066.738
PondOutcome,130
TotalOutcome,130
PondStart,PondStart
PondIntroTime,19.7349283285439
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.824
Pond8Fish1_PondTime,7.964
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,141
Pond8Fish1_TimeLeft,1038.402
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,14.134
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,141
Pond8Fish2_TimeLeft,1032.232
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,-1
Pond8Fish3_PondTime,20.553
Pond8Fish3_PondOutcome,11
Pond8Fish3_TotalOutcome,141
Pond8Fish3_TimeLeft,1025.813
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.25
Pond8Fish4_PondTime,27.207
Pond8Fish4_PondOutcome,22
Pond8Fish4_TotalOutcome,152
Pond8Fish4_TimeLeft,1019.159
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.174
Pond8Fish5_PondTime,34.194
Pond8Fish5_PondOutcome,33
Pond8Fish5_TotalOutcome,163
Pond8Fish5_TimeLeft,1012.172
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.073
Pond8Fish6_PondTime,41.562
Pond8Fish6_PondOutcome,44
Pond8Fish6_TotalOutcome,174
Pond8Fish6_TimeLeft,1004.804
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.278
Pond8Fish7_PondTime,49.401
Pond8Fish7_PondOutcome,55
Pond8Fish7_TotalOutcome,185
Pond8Fish7_TimeLeft,996.965
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.277
Pond8Fish8_PondTime,57.779
Pond8Fish8_PondOutcome,66
Pond8Fish8_TotalOutcome,196
Pond8Fish8_TimeLeft,988.587
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.16
Pond8Fish9_PondTime,66.817
Pond8Fish9_PondOutcome,77
Pond8Fish9_TotalOutcome,207
Pond8Fish9_TimeLeft,979.549
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,0.685
Pond8Fish10_PondTime,76.687
Pond8Fish10_PondOutcome,88
Pond8Fish10_TotalOutcome,218
Pond8Fish10_TimeLeft,969.679
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,0.723
Pond8Fish11_PondTime,87.643
Pond8Fish11_PondOutcome,99
Pond8Fish11_TotalOutcome,229
Pond8Fish11_TimeLeft,958.723
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.166
Pond8Fish12_PondTime,100.01
Pond8Fish12_PondOutcome,110
Pond8Fish12_TotalOutcome,240
Pond8Fish12_TimeLeft,946.356
Type,N
FishN,15
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.432
Pond8Fish13_PondTime,114.384
Pond8Fish13_PondOutcome,121
Pond8Fish13_TotalOutcome,251
Pond8Fish13_TimeLeft,931.982
Type,N
FishN,15
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,1.821
Pond8Fish14_PondTime,131.888
Pond8Fish14_PondOutcome,132
Pond8Fish14_TotalOutcome,262
Pond8Fish14_TimeLeft,914.478
Type,N
FishN,15
Fish,15
Pond8Fish15_FishType,green
Pond8Fish15_FishLatency,15
Pond8Fish15_CatchTime,1.366
Pond8Fish15_PondTime,154.267
Pond8Fish15_PondOutcome,143
Pond8Fish15_TotalOutcome,273
Pond8Fish15_TimeLeft,892.099
PondEnd_LastFish,15
FishN,18
Type,N
GiveUpTime,7.483
PondTime,161.311
TimeLeft,884.552
PondOutcome,143
TotalOutcome,273
PondStart,PondStart
PondIntroTime,11.68641287367791
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.039
Pond3Fish1_PondTime,7.844
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,293
Pond3Fish1_TimeLeft,864.386
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.222
Pond3Fish2_PondTime,13.953
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,303
Pond3Fish2_TimeLeft,858.277
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.005
Pond3Fish3_PondTime,20.322
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,313
Pond3Fish3_TimeLeft,851.908
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.207
Pond3Fish4_PondTime,26.974
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,323
Pond3Fish4_TimeLeft,845.256
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,golden
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.208
Pond3Fish5_PondTime,33.966
Pond3Fish5_PondOutcome,70
Pond3Fish5_TotalOutcome,343
Pond3Fish5_TimeLeft,838.264
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,golden
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.992
Pond3Fish6_PondTime,41.337
Pond3Fish6_PondOutcome,90
Pond3Fish6_TotalOutcome,363
Pond3Fish6_TimeLeft,830.892
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.303
Pond3Fish7_PondTime,49.17
Pond3Fish7_PondOutcome,100
Pond3Fish7_TotalOutcome,373
Pond3Fish7_TimeLeft,823.06
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.618
Pond3Fish8_PondTime,57.537
Pond3Fish8_PondOutcome,110
Pond3Fish8_TotalOutcome,383
Pond3Fish8_TimeLeft,814.693
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.301
Pond3Fish9_PondTime,66.571
Pond3Fish9_PondOutcome,120
Pond3Fish9_TotalOutcome,393
Pond3Fish9_TimeLeft,805.659
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.353
Pond3Fish10_PondTime,76.444
Pond3Fish10_PondOutcome,130
Pond3Fish10_TotalOutcome,403
Pond3Fish10_TimeLeft,795.786
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.685
Pond3Fish11_PondTime,87.393
Pond3Fish11_PondOutcome,140
Pond3Fish11_TotalOutcome,413
Pond3Fish11_TimeLeft,784.837
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.828
Pond3Fish12_PondTime,99.918
Pond3Fish12_PondOutcome,150
Pond3Fish12_TotalOutcome,423
Pond3Fish12_TimeLeft,772.312
PondEnd_LastFish,12
FishN,18
Type,RT
GiveUpTime,11.181
PondTime,110.995
TimeLeft,760.732
PondOutcome,150
TotalOutcome,423
PondStart,PondStart
PondIntroTime,15.004761402960867
Type,N
FishN,14
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.865
Pond9Fish1_PondTime,9.76
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,434
Pond9Fish1_TimeLeft,735.332
Type,N
FishN,14
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.893
Pond9Fish2_PondTime,18.14
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,445
Pond9Fish2_TimeLeft,726.952
Type,N
FishN,14
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.069
Pond9Fish3_PondTime,27.178
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,456
Pond9Fish3_TimeLeft,717.914
Type,N
FishN,14
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.33
Pond9Fish4_PondTime,37.069
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,467
Pond9Fish4_TimeLeft,708.023
Type,N
FishN,14
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.218
Pond9Fish5_PondTime,48.004
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,478
Pond9Fish5_TimeLeft,697.088
Type,N
FishN,14
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.727
