,5c9f36824563540012472fc5
PlayerDetails,5c9f36824563540012472fc5
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,14
Pond2_Type,RD
Pond2_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,18
Pond5_Type,N
Pond5_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,18
Pond3_Type,RD
Pond3_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 15:34:21 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,14
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.029
Pond9Fish1_PondTime,8.901
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.499
Type,N
FishN,14
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.737
Pond9Fish2_PondTime,16.314
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1186.086
Type,N
FishN,14
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,24.199
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,22
Pond9Fish3_TimeLeft,1178.201
Type,N
FishN,14
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.573
Pond9Fish4_PondTime,32.57
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,33
Pond9Fish4_TimeLeft,1169.83
Type,N
FishN,14
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.737
Pond9Fish5_PondTime,41.601
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,44
Pond9Fish5_TimeLeft,1160.799
Type,N
FishN,14
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,0.695
Pond9Fish6_PondTime,51.469
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,55
Pond9Fish6_TimeLeft,1150.931
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,2.018
PondTime,52.383
TimeLeft,1149.516
PondOutcome,55
TotalOutcome,55
PondStart,PondStart
PondIntroTime,13.5948381642811
Type,RD
FishN,16
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.109
Pond2Fish1_PondTime,9.734
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,67
Pond2Fish1_TimeLeft,1125.564
Type,RD
FishN,16
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.099
Pond2Fish2_PondTime,18.103
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,79
