,5d1666ea78167300018d39b7
PlayerDetails,5d1666ea78167300018d39b7
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,19
Pond2_Type,N
Pond2_#Fishes,15
Pond11_Type,RD
Pond11_#Fishes,14
Pond10_Type,RD
Pond10_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,18
Pond1_Type,RD
Pond1_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:50:05 GMT+0100 (közép-európai téli idő)
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,7.671
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,0
Pond7Fish1_TimeLeft,1194.728
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.209
Pond7Fish2_PondTime,13.581
Pond7Fish2_PondOutcome,10
Pond7Fish2_TotalOutcome,10
Pond7Fish2_TimeLeft,1188.818
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.71
Pond7Fish3_PondTime,19.714
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1182.685
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,0.86
Pond7Fish4_PondTime,26.072
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,40
Pond7Fish4_TimeLeft,1176.326
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.22
Pond7Fish5_PondTime,32.73
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,50
Pond7Fish5_TimeLeft,1169.669
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,0.637
Pond7Fish6_PondTime,39.718
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1162.681
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,0.69
Pond7Fish7_PondTime,47.095
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,70
Pond7Fish7_TimeLeft,1155.304
Type,RT
FishN,12
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.182
Pond7Fish8_PondTime,54.934
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,80
Pond7Fish8_TimeLeft,1147.465
Type,RT
FishN,12
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,0.807
Pond7Fish9_PondTime,63.325
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,90
Pond7Fish9_TimeLeft,1139.074
Type,RT
FishN,12
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.038
Pond7Fish10_PondTime,72.369
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,100
Pond7Fish10_TimeLeft,1130.03
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,0.475
PondTime,82.138
TimeLeft,1119.752
