,5d8d0f36f5c589001ac56ce2
PlayerDetails,5d8d0f36f5c589001ac56ce2
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,14
Pond5_Type,RD
Pond5_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,15
Pond7_Type,N
Pond7_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 12:53:35 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,7.669
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,0
Pond12Fish1_TimeLeft,1194.728
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.05
Pond12Fish2_PondTime,13.585
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,10
Pond12Fish2_TimeLeft,1188.812
