,5d96108d33f8930017e85506
PlayerDetails,5d96108d33f8930017e85506
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,16
Pond11_Type,RD
Pond11_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 14:18:39 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.792
Pond8Fish1_PondTime,9.713
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1192.686
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.346
Pond8Fish2_PondTime,18.077
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,22
Pond8Fish2_TimeLeft,1184.322
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.801
Pond8Fish3_PondTime,27.111
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,33
Pond8Fish3_TimeLeft,1175.288
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.949
Pond8Fish4_PondTime,36.977
Pond8Fish4_PondOutcome,44
