,5d9cc7e8d81c510017447d62
PlayerDetails,5d9cc7e8d81c510017447d62
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,N
Pond4_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,19
Pond7_Type,RD
Pond7_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,16
Pond12_Type,RT
Pond12_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 12:46:58 GMT+0000 (Ora del meridiano di Greenwich)
Type,N
FishN,14
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.916
Pond4Fish1_PondTime,8.907
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1193.492
Type,N
FishN,14
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.053
Pond4Fish2_PondTime,16.272
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1186.127
Type,N
FishN,14
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.892
Pond4Fish3_PondTime,24.103
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1178.296
Type,N
FishN,14
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.822
Pond4Fish4_PondTime,32.472
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1169.927
Type,N
FishN,14
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.829
Pond4Fish5_PondTime,41.502
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1160.897
Type,N
FishN,14
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.827
Pond4Fish6_PondTime,51.375
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,66
Pond4Fish6_TimeLeft,1151.024
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.632
PondTime,61.981
TimeLeft,1139.91
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,18.91315315850079
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.93
Pond6Fish1_PondTime,7.811
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,76
Pond6Fish1_TimeLeft,1105.517
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.909
Pond6Fish2_PondTime,13.929
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,86
Pond6Fish2_TimeLeft,1099.399
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.879
Pond6Fish3_PondTime,20.297
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,96
Pond6Fish3_TimeLeft,1093.031
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.182
Pond6Fish4_PondTime,26.946
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,106
Pond6Fish4_TimeLeft,1086.382
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.766
