,5dac65e10cd3ff0013e3ee17
PlayerDetails,5dac65e10cd3ff0013e3ee17
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,19
Pond4_Type,RD
Pond4_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,13
Pond7_Type,RD
Pond7_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:49:20 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,19
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.874
Pond11Fish1_PondTime,9.097
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1193.301
Type,N
FishN,19
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.754
Pond11Fish2_PondTime,16.526
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1185.872
Type,N
FishN,19
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.579
Pond11Fish3_PondTime,24.338
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1178.06
Type,N
FishN,19
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.191
Pond11Fish4_PondTime,32.705
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1169.693
Type,N
FishN,19
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.622
Pond11Fish5_PondTime,41.729
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,55
Pond11Fish5_TimeLeft,1160.669
Type,N
FishN,19
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.71
Pond11Fish6_PondTime,51.61
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,66
Pond11Fish6_TimeLeft,1150.788
Type,N
FishN,19
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.537
Pond11Fish7_PondTime,62.559
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,77
Pond11Fish7_TimeLeft,1139.839
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,2.34
PondTime,64.645
TimeLeft,1137.248
PondOutcome,77
TotalOutcome,77
PondStart,PondStart
PondIntroTime,19.122437231708318
Type,RT
FishN,16
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,2.064
Pond2Fish1_PondTime,12.202
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,87
Pond2Fish1_TimeLeft,1103.824
Type,RT
FishN,16
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,20.081
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,87
Pond2Fish2_TimeLeft,1095.945
Type,RT
FishN,16
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.193
Pond2Fish3_PondTime,28.598
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,107
Pond2Fish3_TimeLeft,1087.428
Type,RT
FishN,16
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.58
Pond2Fish4_PondTime,37.645
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,117
Pond2Fish4_TimeLeft,1078.381
Type,RT
FishN,16
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.109
Pond2Fish5_PondTime,47.507
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,127
Pond2Fish5_TimeLeft,1068.519
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,1.296
PondTime,48.116
TimeLeft,1067.407
PondOutcome,50
TotalOutcome,127
PondStart,PondStart
PondIntroTime,10.906050694175065
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.354
Pond3Fish1_PondTime,8.282
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,147
Pond3Fish1_TimeLeft,1047.58
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.455
Pond3Fish2_PondTime,14.931
Pond3Fish2_PondOutcome,40
Pond3Fish2_TotalOutcome,167
