,5ddaca18dba634a313f3bd1d
PlayerDetails,5ddaca18dba634a313f3bd1d
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,16
Pond4_Type,N
Pond4_#Fishes,12
Pond3_Type,N
Pond3_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 14:50:39 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.193
Pond6Fish1_PondTime,8.59
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1193.808
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.126
Pond6Fish2_PondTime,15.626
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1186.772
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.246
Pond6Fish3_PondTime,23.027
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
Pond6Fish3_TimeLeft,1179.371
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.251
Pond6Fish4_PondTime,30.872
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,40
Pond6Fish4_TimeLeft,1171.526
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.576
Pond6Fish5_PondTime,39.274
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1163.124
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.691
Pond6Fish6_PondTime,48.355
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,60
Pond6Fish6_TimeLeft,1154.042
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.19
Pond6Fish7_PondTime,58.256
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,70
Pond6Fish7_TimeLeft,1144.142
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.318
Pond6Fish8_PondTime,69.256
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,80
Pond6Fish8_TimeLeft,1133.142
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.885
Pond6Fish9_PondTime,81.837
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,90
Pond6Fish9_TimeLeft,1120.561
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.316
Pond6Fish10_PondTime,96.223
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,100
Pond6Fish10_TimeLeft,1106.175
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,golden
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.104
Pond6Fish11_PondTime,113.608
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,120
Pond6Fish11_TimeLeft,1088.789
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,1.391
Pond6Fish12_PondTime,136.006
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,130
Pond6Fish12_TimeLeft,1066.392
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,1.754
PondTime,137.34
TimeLeft,1064.552
PondOutcome,130
TotalOutcome,130
PondStart,PondStart
PondIntroTime,19.757737026084214
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.164
Pond7Fish1_PondTime,7.825
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,140
Pond7Fish1_TimeLeft,1036.347
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.593
Pond7Fish2_PondTime,13.977
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,150
Pond7Fish2_TimeLeft,1030.195
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.357
Pond7Fish3_PondTime,20.354
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,160
Pond7Fish3_TimeLeft,1023.818
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.993
Pond7Fish4_PondTime,27.033
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,170
Pond7Fish4_TimeLeft,1017.139
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.581
Pond7Fish5_PondTime,34.075
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,180
Pond7Fish5_TimeLeft,1010.097
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.741
Pond7Fish6_PondTime,41.514
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,190
Pond7Fish6_TimeLeft,1002.658
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.301
Pond7Fish7_PondTime,49.347
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,200
Pond7Fish7_TimeLeft,994.825
Type,RT
FishN,12
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,1.451
Pond7Fish8_PondTime,57.713
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,210
Pond7Fish8_TimeLeft,986.459
Type,RT
FishN,12
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.745
Pond7Fish9_PondTime,66.815
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,220
Pond7Fish9_TimeLeft,977.357
Type,RT
FishN,12
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.326
Pond7Fish10_PondTime,76.708
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,230
Pond7Fish10_TimeLeft,967.464
Type,RT
FishN,12
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.518
Pond7Fish11_PondTime,87.649
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,240
Pond7Fish11_TimeLeft,956.522
Type,RT
FishN,12
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,1.529
Pond7Fish12_PondTime,100.029
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,250
Pond7Fish12_TimeLeft,944.143
Type,RT
FishN,12
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,1.637
Pond7Fish13_PondTime,114.415
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,260
Pond7Fish13_TimeLeft,929.756
Type,RT
FishN,12
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.588
Pond7Fish14_PondTime,131.833
Pond7Fish14_PondOutcome,140
Pond7Fish14_TotalOutcome,270
Pond7Fish14_TimeLeft,912.339
Type,RT
FishN,12
Fish,15
Pond7Fish15_FishType,purple
Pond7Fish15_FishLatency,15
Pond7Fish15_CatchTime,-1
Pond7Fish15_PondTime,154.294
Pond7Fish15_PondOutcome,140
Pond7Fish15_TotalOutcome,270
Pond7Fish15_TimeLeft,889.877
Type,RT
FishN,12
Fish,16
Pond7Fish16_FishType,purple
Pond7Fish16_FishLatency,20
Pond7Fish16_CatchTime,1.251
Pond7Fish16_PondTime,186.665
Pond7Fish16_PondOutcome,150
Pond7Fish16_TotalOutcome,280
Pond7Fish16_TimeLeft,857.507
PondEnd_LastFish,16
FishN,18
Type,RT
GiveUpTime,31.482
PondTime,217.609
TimeLeft,826.058
PondOutcome,150
TotalOutcome,280
PondStart,PondStart
PondIntroTime,18.503172527998686
Type,RT
FishN,16
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,2.017
Pond2Fish1_PondTime,7.881
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,290
Pond2Fish1_TimeLeft,799.044
