,5decb11b9b8f2437f63f1d8b
PlayerDetails,5decb11b9b8f2437f63f1d8b
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,18
Pond1_Type,RD
Pond1_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,16
Pond8_Type,N
Pond8_#Fishes,17
Pond12_Type,RD
Pond12_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,16
Pond9_Type,RD
Pond9_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 14:34:55 GMT+0100 (Central European Standard Time)
Type,RD
FishN,16
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.075
Pond10Fish1_PondTime,7.798
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1194.599
Type,RD
FishN,16
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.855
Pond10Fish2_PondTime,13.906
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1188.492
Type,RD
FishN,16
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.054
Pond10Fish3_PondTime,20.264
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,36
Pond10Fish3_TimeLeft,1182.134
Type,RD
FishN,16
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,0.685
Pond10Fish4_PondTime,26.906
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,48
Pond10Fish4_TimeLeft,1175.492
Type,RD
FishN,16
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,0.806
Pond10Fish5_PondTime,33.881
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,60
Pond10Fish5_TimeLeft,1168.516
Type,RD
FishN,16
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,0.943
Pond10Fish6_PondTime,41.24
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,72
Pond10Fish6_TimeLeft,1161.158
Type,RD
FishN,16
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,0.752
Pond10Fish7_PondTime,49.055
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,84
Pond10Fish7_TimeLeft,1153.342
Type,RD
FishN,16
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,0.769
Pond10Fish8_PondTime,57.414
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,96
Pond10Fish8_TimeLeft,1144.984
Type,RD
FishN,16
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,1.12
Pond10Fish9_PondTime,66.44
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,108
Pond10Fish9_TimeLeft,1135.958
Type,RD
FishN,16
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,0.974
Pond10Fish10_PondTime,76.298
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,120
Pond10Fish10_TimeLeft,1126.1
Type,RD
FishN,16
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,0.897
Pond10Fish11_PondTime,87.231
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,132
Pond10Fish11_TimeLeft,1115.166
Type,RD
FishN,16
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,0.971
