,5e236a025ade0b61f502fd1d
PlayerDetails,5e236a025ade0b61f502fd1d
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RD
Pond3_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,12
Pond6_Type,RT
Pond6_#Fishes,14
Pond10_Type,N
Pond10_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,17
Pond7_Type,RT
Pond7_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:47:46 GMT+0100 (Central European Standard Time)
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.138
Pond3Fish1_PondTime,8.291
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,12
Pond3Fish1_TimeLeft,1194.105
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.904
Pond3Fish2_PondTime,14.939
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,24
Pond3Fish2_TimeLeft,1187.458
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.802
Pond3Fish3_PondTime,21.922
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,36
Pond3Fish3_TimeLeft,1180.475
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.139
Pond3Fish4_PondTime,29.288
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,38
Pond3Fish4_TimeLeft,1173.109
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.722
Pond3Fish5_PondTime,37.138
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,40
Pond3Fish5_TimeLeft,1165.259
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.712
Pond3Fish6_PondTime,45.523
Pond3Fish6_PondOutcome,52
Pond3Fish6_TotalOutcome,52
Pond3Fish6_TimeLeft,1156.874
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.755
Pond3Fish7_PondTime,54.551
Pond3Fish7_PondOutcome,64
Pond3Fish7_TotalOutcome,64
Pond3Fish7_TimeLeft,1147.846
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.02
Pond3Fish8_PondTime,64.423
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,76
Pond3Fish8_TimeLeft,1137.974
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.334
Pond3Fish9_PondTime,75.357
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,88
Pond3Fish9_TimeLeft,1127.04
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.549
Pond3Fish10_PondTime,87.725
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,100
Pond3Fish10_TimeLeft,1114.672
Type,RD
FishN,18
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.695
Pond3Fish11_PondTime,102.126
Pond3Fish11_PondOutcome,112
Pond3Fish11_TotalOutcome,112
Pond3Fish11_TimeLeft,1100.271
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.653
PondTime,119.044
TimeLeft,1082.848
PondOutcome,112
TotalOutcome,112
PondStart,PondStart
PondIntroTime,11.211934031452984
Type,N
FishN,15
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.793
Pond12Fish1_PondTime,7.629
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,123
Pond12Fish1_TimeLeft,1062.392
Type,N
FishN,15
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,0.742
Pond12Fish2_PondTime,13.518
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,134
Pond12Fish2_TimeLeft,1056.502
Type,N
FishN,15
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.871
Pond12Fish3_PondTime,19.636
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,145
Pond12Fish3_TimeLeft,1050.385
Type,N
FishN,15
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.845
Pond12Fish4_PondTime,26.022
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,156
Pond12Fish4_TimeLeft,1043.999
Type,N
FishN,15
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.75
Pond12Fish5_PondTime,32.686
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,167
Pond12Fish5_TimeLeft,1037.335
Type,N
FishN,15
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.054
Pond12Fish6_PondTime,39.684
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,178
Pond12Fish6_TimeLeft,1030.337
Type,N
FishN,15
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.966
Pond12Fish7_PondTime,47.051
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,189
Pond12Fish7_TimeLeft,1022.97
Type,N
FishN,15
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.445
Pond12Fish8_PondTime,54.886
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,200
Pond12Fish8_TimeLeft,1015.135
Type,N
FishN,15
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.909
Pond12Fish9_PondTime,63.253
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,211
Pond12Fish9_TimeLeft,1006.768
Type,N
FishN,15
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,0.812
Pond12Fish10_PondTime,72.289
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,222
Pond12Fish10_TimeLeft,997.729
Type,N
FishN,15
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,1.064
Pond12Fish11_PondTime,82.169
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,233
Pond12Fish11_TimeLeft,987.852
Type,N
FishN,15
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,0.875
Pond12Fish12_PondTime,93.104
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,244
Pond12Fish12_TimeLeft,976.917
Type,N
FishN,15
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,1.028
Pond12Fish13_PondTime,105.471
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,255
Pond12Fish13_TimeLeft,964.55
Type,N
FishN,15
Fish,14
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,0.925
Pond12Fish14_PondTime,119.839
Pond12Fish14_PondOutcome,154
Pond12Fish14_TotalOutcome,266
Pond12Fish14_TimeLeft,950.182
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,12.514
PondTime,131.484
TimeLeft,938.031
PondOutcome,154
TotalOutcome,266
PondStart,PondStart
PondIntroTime,10.980514276307076
Type,N
FishN,17
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.253
Pond5Fish1_PondTime,7.801
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,277
Pond5Fish1_TimeLeft,918.614
Type,N
FishN,17
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.622
Pond5Fish2_PondTime,13.922
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,288
Pond5Fish2_TimeLeft,912.493
Type,N
FishN,17
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.775
Pond5Fish3_PondTime,20.285
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,299
Pond5Fish3_TimeLeft,906.13
Type,N
FishN,17
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.727
Pond5Fish4_PondTime,26.936
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,310
Pond5Fish4_TimeLeft,899.479
Type,N
FishN,17
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.671
Pond5Fish5_PondTime,33.936
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,321
Pond5Fish5_TimeLeft,892.479
Type,N
FishN,17
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.287
Pond5Fish6_PondTime,41.326
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,332
Pond5Fish6_TimeLeft,885.089
Type,N
FishN,17
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.652
Pond5Fish7_PondTime,49.152
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,343
Pond5Fish7_TimeLeft,877.263
Type,N
FishN,17
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.817
Pond5Fish8_PondTime,57.515
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,354
Pond5Fish8_TimeLeft,868.9
Type,N
FishN,17
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.569
Pond5Fish9_PondTime,66.547
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,365
Pond5Fish9_TimeLeft,859.868
Type,N
FishN,17
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.912
Pond5Fish10_PondTime,76.436
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,376
Pond5Fish10_TimeLeft,849.979
Type,N
FishN,17
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.209
Pond5Fish11_PondTime,87.386
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,387
Pond5Fish11_TimeLeft,839.029
PondEnd_LastFish,11
FishN,18
Type,N
GiveUpTime,9.52
PondTime,96.32
TimeLeft,829.59
PondOutcome,121
TotalOutcome,387
PondStart,PondStart
PondIntroTime,13.355332852806896
Type,RD
FishN,15
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.635
Pond8Fish1_PondTime,9.734
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,399
Pond8Fish1_TimeLeft,805.878
Type,RD
FishN,15
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.311
Pond8Fish2_PondTime,18.105
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,411
Pond8Fish2_TimeLeft,797.507
Type,RD
FishN,15
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.545
Pond8Fish3_PondTime,27.155
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,423
Pond8Fish3_TimeLeft,788.457
Type,RD
FishN,15
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,37.07
Pond8Fish4_PondOutcome,36
Pond8Fish4_TotalOutcome,423
Pond8Fish4_TimeLeft,778.542
Type,RD
FishN,15
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.652
Pond8Fish5_PondTime,48.021
Pond8Fish5_PondOutcome,48
Pond8Fish5_TotalOutcome,435
Pond8Fish5_TimeLeft,767.591
Type,RD
FishN,15
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.686
Pond8Fish6_PondTime,60.386
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,447
Pond8Fish6_TimeLeft,755.226
Type,RD
FishN,15
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.602
Pond8Fish7_PondTime,74.749
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,459
Pond8Fish7_TimeLeft,740.863
Type,RD
FishN,15
Fish,8
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.467
Pond8Fish8_PondTime,92.118
Pond8Fish8_PondOutcome,74
Pond8Fish8_TotalOutcome,461
Pond8Fish8_TimeLeft,723.494
Type,RD
FishN,15
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,0.607
Pond8Fish9_PondTime,114.508
Pond8Fish9_PondOutcome,86
Pond8Fish9_TotalOutcome,473
Pond8Fish9_TimeLeft,701.103
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,19.531
PondTime,132.85
TimeLeft,682.257
PondOutcome,86
TotalOutcome,473
PondStart,PondStart
PondIntroTime,13.46753221238032
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.992
Pond6Fish1_PondTime,8.891
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,483
Pond6Fish1_TimeLeft,659.282
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.101
Pond6Fish2_PondTime,16.253
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,493
Pond6Fish2_TimeLeft,651.92
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.124
Pond6Fish3_PondTime,24.085
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,503
Pond6Fish3_TimeLeft,644.088
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.262
Pond6Fish4_PondTime,32.445
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,513
Pond6Fish4_TimeLeft,635.728
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.155
Pond6Fish5_PondTime,41.471
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,523
Pond6Fish5_TimeLeft,626.702
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.094
Pond6Fish6_PondTime,51.339
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,533
Pond6Fish6_TimeLeft,616.834
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.172
Pond6Fish7_PondTime,62.27
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,543
Pond6Fish7_TimeLeft,605.903
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,0.948
Pond6Fish8_PondTime,74.637
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,553
Pond6Fish8_TimeLeft,593.536
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.093
Pond6Fish9_PondTime,89.006
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,563
Pond6Fish9_TimeLeft,579.166
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,0.958
Pond6Fish10_PondTime,106.373
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,573
Pond6Fish10_TimeLeft,561.8
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,1.62
Pond6Fish11_PondTime,128.756
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,583
Pond6Fish11_TimeLeft,539.417
