,אאא
PlayerDetails,אאא
GameCompleted,exited
Selected ponds in the game,=======
Pond4_Type,RD
Pond4_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 15:58:42 GMT+0200 (Israel Standard Time)
Type,RD
FishN,14
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.097
Pond4Fish1_PondTime,8.061
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,12
Pond4Fish1_TimeLeft,1194.338
Type,RD
FishN,14
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.853
Pond4Fish2_PondTime,14.609
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,24
Pond4Fish2_TimeLeft,1187.79
Type,RD
FishN,14
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,-1
Pond4Fish3_PondTime,21.356
Pond4Fish3_PondOutcome,24
Pond4Fish3_TotalOutcome,24
Pond4Fish3_TimeLeft,1181.043
Type,RD
FishN,14
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,1.367
Pond4Fish4_PondTime,28.373
Pond4Fish4_PondOutcome,36
Pond4Fish4_TotalOutcome,36
Pond4Fish4_TimeLeft,1174.026
PondEnd_LastFish,4
FishN,17
Type,RD
GiveUpTime,1.385
PondTime,29.339
TimeLeft,1172.556
PondOutcome,36
TotalOutcome,36
PondStart,PondStart
PondIntroTime,14.050345062278211
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.5
Pond8Fish1_PondTime,9.292
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,47
Pond8Fish1_TimeLeft,1148.592
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,17.217
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,47
Pond8Fish2_TimeLeft,1140.667
PondEnd_LastFish,2
FishN,13
Type,N
GiveUpTime,14.013
PondTime,23.005
TimeLeft,1134.376
PondOutcome,11
TotalOutcome,47
PondStart,PondStart
PondIntroTime,12.66709960065782
