,569dca9c3b203400054f3ffc
PlayerDetails,569dca9c3b203400054f3ffc
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 02:27:02 GMT-0800 (Pacific Standard Time)
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.348
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,0
Pond5Fish1_TimeLeft,1193.051
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.323
Pond5Fish2_PondTime,17.177
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,11
Pond5Fish2_TimeLeft,1185.222
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.682
Pond5Fish3_PondTime,25.539
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,22
Pond5Fish3_TimeLeft,1176.86
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.275
Pond5Fish4_PondTime,34.564
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,33
Pond5Fish4_TimeLeft,1167.835
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.718
Pond5Fish5_PondTime,44.449
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,44
Pond5Fish5_TimeLeft,1157.95
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.067
Pond5Fish6_PondTime,55.389
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,55
Pond5Fish6_TimeLeft,1147.01
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.901
Pond5Fish7_PondTime,67.971
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,66
Pond5Fish7_TimeLeft,1134.428
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.967
Pond5Fish8_PondTime,82.607
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,77
Pond5Fish8_TimeLeft,1119.792
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.22
Pond5Fish9_PondTime,99.994
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,88
Pond5Fish9_TimeLeft,1102.405
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.963
Pond5Fish10_PondTime,122.636
Pond5Fish10_PondOutcome,99
Pond5Fish10_TotalOutcome,99
Pond5Fish10_TimeLeft,1079.763
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,20
Pond5Fish11_CatchTime,1.445
Pond5Fish11_PondTime,154.995
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,110
Pond5Fish11_TimeLeft,1047.404
PondEnd_LastFish,11
FishN,12
Type,N
GiveUpTime,40.905
PondTime,195.55
TimeLeft,1006.347
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,18.16467377357185
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.26
Pond4Fish1_PondTime,8.903
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,121
Pond4Fish1_TimeLeft,978.654
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.541
Pond4Fish2_PondTime,16.273
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,132
Pond4Fish2_TimeLeft,971.285
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.42
Pond4Fish3_PondTime,24.094
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,143
Pond4Fish3_TimeLeft,963.464
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.621
Pond4Fish4_PondTime,32.454
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,154
Pond4Fish4_TimeLeft,955.104
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.209
Pond4Fish5_PondTime,41.476
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,165
Pond4Fish5_TimeLeft,946.082
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.451
Pond4Fish6_PondTime,51.332
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,176
Pond4Fish6_TimeLeft,936.225
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.494
Pond4Fish7_PondTime,62.269
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,187
Pond4Fish7_TimeLeft,925.289
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.62
Pond4Fish8_PondTime,74.638
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,198
Pond4Fish8_TimeLeft,912.92
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,2.036
Pond4Fish9_PondTime,89.079
Pond4Fish9_PondOutcome,99
