,56ab570169b247000d5cb3a5
PlayerDetails,56ab570169b247000d5cb3a5
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,12
Pond4_Type,N
Pond4_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,18
Pond3_Type,RD
Pond3_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 14:14:39 GMT+0100 (Mitteleuropäische Normalzeit)
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.305
Pond1Fish1_PondTime,8.028
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1194.37
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.183
Pond1Fish2_PondTime,14.395
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1188.004
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,1.194
Pond1Fish3_PondTime,21.037
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1181.361
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.303
Pond1Fish4_PondTime,28.081
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1174.318
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,1.352
Pond1Fish5_PondTime,35.489
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1166.91
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.17
Pond1Fish6_PondTime,43.341
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,70
