,57ac85fec80df50001a5b25d
PlayerDetails,57ac85fec80df50001a5b25d
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,15
Pond1_Type,RT
Pond1_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 13:18:26 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,8.089
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,0
Pond6Fish1_TimeLeft,1194.308
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.321
Pond6Fish2_PondTime,14.461
Pond6Fish2_PondOutcome,10
Pond6Fish2_TotalOutcome,10
Pond6Fish2_TimeLeft,1187.937
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.667
Pond6Fish3_PondTime,21.126
Pond6Fish3_PondOutcome,20
Pond6Fish3_TotalOutcome,20
Pond6Fish3_TimeLeft,1181.271
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.42
Pond6Fish4_PondTime,28.143
Pond6Fish4_PondOutcome,30
Pond6Fish4_TotalOutcome,30
Pond6Fish4_TimeLeft,1174.255
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.269
Pond6Fish5_PondTime,35.524
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,40
Pond6Fish5_TimeLeft,1166.874
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.387
Pond6Fish6_PondTime,43.342
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,50
Pond6Fish6_TimeLeft,1159.056
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.447
Pond6Fish7_PondTime,51.731
Pond6Fish7_PondOutcome,60
Pond6Fish7_TotalOutcome,60
Pond6Fish7_TimeLeft,1150.667
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.122
Pond6Fish8_PondTime,60.798
Pond6Fish8_PondOutcome,70
Pond6Fish8_TotalOutcome,70
Pond6Fish8_TimeLeft,1141.6
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.492
Pond6Fish9_PondTime,70.68
Pond6Fish9_PondOutcome,80
Pond6Fish9_TotalOutcome,80
Pond6Fish9_TimeLeft,1131.718
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,golden
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.262
Pond6Fish10_PondTime,81.627
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,100
Pond6Fish10_TimeLeft,1120.771
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.4
Pond6Fish11_PondTime,94.002
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,110
Pond6Fish11_TimeLeft,1108.396
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,golden
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.421
Pond6Fish12_PondTime,108.394
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,130
Pond6Fish12_TimeLeft,1094.004
Type,RT
FishN,19
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,-1
Pond6Fish13_PondTime,125.819
Pond6Fish13_PondOutcome,130
Pond6Fish13_TotalOutcome,130
Pond6Fish13_TimeLeft,1076.579
Type,RT
FishN,19
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,15
Pond6Fish14_CatchTime,1.366
Pond6Fish14_PondTime,148.201
Pond6Fish14_PondOutcome,140
Pond6Fish14_TotalOutcome,140
Pond6Fish14_TimeLeft,1054.196
Type,RT
FishN,19
Fish,15
Pond6Fish15_FishType,golden
Pond6Fish15_FishLatency,20
Pond6Fish15_CatchTime,1.238
Pond6Fish15_PondTime,180.581
Pond6Fish15_PondOutcome,160
Pond6Fish15_TotalOutcome,160
Pond6Fish15_TimeLeft,1021.817
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,1.473
PondTime,181.491
TimeLeft,1020.399
PondOutcome,160
TotalOutcome,160
PondStart,PondStart
PondIntroTime,16.539011974819005
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.547
Pond7Fish1_PondTime,8.925
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,171
Pond7Fish1_TimeLeft,994.312
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.592
Pond7Fish2_PondTime,16.299
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,182
Pond7Fish2_TimeLeft,986.938
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.792
Pond7Fish3_PondTime,24.225
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,193
Pond7Fish3_TimeLeft,979.012
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.513
Pond7Fish4_PondTime,32.594
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,204
Pond7Fish4_TimeLeft,970.643
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.579
Pond7Fish5_PondTime,41.653
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,215
Pond7Fish5_TimeLeft,961.584
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.589
Pond7Fish6_PondTime,51.526
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,226
Pond7Fish6_TimeLeft,951.711
Type,N
FishN,15
