,57d3dc8f2638f600010885d1
PlayerDetails,57d3dc8f2638f600010885d1
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,17
Pond4_Type,N
Pond4_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:36:04 GMT+0100 (Central European Standard Time)
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.495
Pond10Fish1_PondTime,8.032
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1194.368
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.899
Pond10Fish2_PondTime,14.406
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1187.994
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.816
Pond10Fish3_PondTime,21.061
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1181.339
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.876
Pond10Fish4_PondTime,28.032
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1174.368
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.985
Pond10Fish5_PondTime,35.395
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1167.005
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.801
Pond10Fish6_PondTime,43.227
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1159.173
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.08
Pond10Fish7_PondTime,51.599
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,77
Pond10Fish7_TimeLeft,1150.801
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.038
Pond10Fish8_PondTime,60.645
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,88
Pond10Fish8_TimeLeft,1141.755
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.942
Pond10Fish9_PondTime,70.514
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,99
Pond10Fish9_TimeLeft,1131.886
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.068
Pond10Fish10_PondTime,81.46
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1120.94
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.112
Pond10Fish11_PondTime,93.83
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,121
Pond10Fish11_TimeLeft,1108.57
Type,N
FishN,19
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,0.977
Pond10Fish12_PondTime,108.207
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,132
Pond10Fish12_TimeLeft,1094.193
Type,N
FishN,19
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,0.916
Pond10Fish13_PondTime,125.586
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,143
Pond10Fish13_TimeLeft,1076.814
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,18.835
PondTime,143.535
TimeLeft,1058.364
PondOutcome,143
TotalOutcome,143
PondStart,PondStart
PondIntroTime,17.44525733171031
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.2
Pond4Fish1_PondTime,9.739
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,154
Pond4Fish1_TimeLeft,1030.546
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.939
Pond4Fish2_PondTime,18.114
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,165
Pond4Fish2_TimeLeft,1022.171
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.785
Pond4Fish3_PondTime,27.159
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,176
Pond4Fish3_TimeLeft,1013.126
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.821
Pond4Fish4_PondTime,37.043
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,187
Pond4Fish4_TimeLeft,1003.242
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.15
Pond4Fish5_PondTime,47.983
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,198
Pond4Fish5_TimeLeft,992.302
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,0.983
Pond4Fish6_PondTime,60.358
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,209
Pond4Fish6_TimeLeft,979.927
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,0.983
Pond4Fish7_PondTime,74.734
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,220
Pond4Fish7_TimeLeft,965.55
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.707
Pond4Fish8_PondTime,92.112
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,231
Pond4Fish8_TimeLeft,948.173
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,0.8
Pond4Fish9_PondTime,114.484
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,242
Pond4Fish9_TimeLeft,925.801
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,23.425
PondTime,136.904
TimeLeft,902.879
PondOutcome,99
TotalOutcome,242
PondStart,PondStart
PondIntroTime,11.398239233531058
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.989
Pond6Fish1_PondTime,8.89
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,254
Pond6Fish1_TimeLeft,881.973
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.955
Pond6Fish2_PondTime,16.264
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,266
Pond6Fish2_TimeLeft,874.599
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.04
Pond6Fish3_PondTime,24.087
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,278
Pond6Fish3_TimeLeft,866.776
Type,RD
FishN,19
