,5829c320c297cc0001515a37
PlayerDetails,5829c320c297cc0001515a37
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,14
Pond5_Type,RD
Pond5_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,13
Pond8_Type,RT
Pond8_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:40:29 GMT+0100 (Orta Avrupa Standart Saati)
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.103
Pond6Fish1_PondTime,9.274
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1193.124
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.799
Pond6Fish2_PondTime,17.089
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1185.308
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.866
Pond6Fish3_PondTime,25.457
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1176.941
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.851
Pond6Fish4_PondTime,34.489
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1167.908
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.87
Pond6Fish5_PondTime,44.355
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1158.043
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.949
Pond6Fish6_PondTime,55.288
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1147.11
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,1.846
Pond6Fish7_PondTime,67.803
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,77
Pond6Fish7_TimeLeft,1134.595
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,0.948
Pond6Fish8_PondTime,82.168
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,88
Pond6Fish8_TimeLeft,1120.23
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,1.772
Pond6Fish9_PondTime,99.62
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,99
Pond6Fish9_TimeLeft,1102.778
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,0.783
Pond6Fish10_PondTime,121.985
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,110
Pond6Fish10_TimeLeft,1080.413
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,2.66
PondTime,123.627
TimeLeft,1078.268
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,14.33546953368932
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.918
Pond4Fish1_PondTime,8.567
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,122
Pond4Fish1_TimeLeft,1054.747
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,0.659
Pond4Fish2_PondTime,15.55
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,134
Pond4Fish2_TimeLeft,1047.764
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.085
Pond4Fish3_PondTime,22.916
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,146
Pond4Fish3_TimeLeft,1040.398
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.947
Pond4Fish4_PondTime,30.731
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,158
Pond4Fish4_TimeLeft,1032.583
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.886
Pond4Fish5_PondTime,39.101
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,160
Pond4Fish5_TimeLeft,1024.213
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.738
Pond4Fish6_PondTime,48.132
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,172
Pond4Fish6_TimeLeft,1015.182
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,gray
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,0.951
Pond4Fish7_PondTime,57.997
Pond4Fish7_PondOutcome,64
Pond4Fish7_TotalOutcome,174
Pond4Fish7_TimeLeft,1005.317
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,0.938
Pond4Fish8_PondTime,68.929
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,186
Pond4Fish8_TimeLeft,994.385
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,0.669
Pond4Fish9_PondTime,81.297
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,198
Pond4Fish9_TimeLeft,982.017
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,0.864
Pond4Fish10_PondTime,95.661
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,210
Pond4Fish10_TimeLeft,967.653
Type,RD
FishN,16
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,0.678
Pond4Fish11_PondTime,113.03
Pond4Fish11_PondOutcome,112
Pond4Fish11_TotalOutcome,222
Pond4Fish11_TimeLeft,950.284
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.611
PondTime,135.137
TimeLeft,927.675
PondOutcome,112
TotalOutcome,222
PondStart,PondStart
PondIntroTime,12.906130675692111
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.738
Pond3Fish1_PondTime,8.883
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,234
