,58c84d506d1c600001a09319
PlayerDetails,58c84d506d1c600001a09319
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,17
Pond9_Type,N
Pond9_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,15
Pond10_Type,RT
Pond10_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 02:44:26 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.256
Pond12Fish1_PondTime,8.016
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1194.383
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.737
Pond12Fish2_PondTime,14.382
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,20
Pond12Fish2_TimeLeft,1188.017
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.231
Pond12Fish3_PondTime,21.031
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,30
Pond12Fish3_TimeLeft,1181.368
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.383
Pond12Fish4_PondTime,28.016
Pond12Fish4_PondOutcome,40
