,59c0de1c754a19000111c362
PlayerDetails,59c0de1c754a19000111c362
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RD
Pond3_#Fishes,16
Pond12_Type,RT
Pond12_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,13
Pond10_Type,N
Pond10_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:49:35 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.431
Pond3Fish1_PondTime,8.319
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,2
Pond3Fish1_TimeLeft,1194.078
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.076
Pond3Fish2_PondTime,15.028
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,14
Pond3Fish2_TimeLeft,1187.369
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.058
Pond3Fish3_PondTime,22.077
Pond3Fish3_PondOutcome,16
Pond3Fish3_TotalOutcome,16
Pond3Fish3_TimeLeft,1180.321
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.143
Pond3Fish4_PondTime,29.484
Pond3Fish4_PondOutcome,28
Pond3Fish4_TotalOutcome,28
Pond3Fish4_TimeLeft,1172.914
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.347
Pond3Fish5_PondTime,37.333
Pond3Fish5_PondOutcome,30
Pond3Fish5_TotalOutcome,30
Pond3Fish5_TimeLeft,1165.065
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.188
Pond3Fish6_PondTime,45.722
Pond3Fish6_PondOutcome,42
Pond3Fish6_TotalOutcome,42
Pond3Fish6_TimeLeft,1156.676
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.86
Pond3Fish7_PondTime,54.807
Pond3Fish7_PondOutcome,54
Pond3Fish7_TotalOutcome,54
Pond3Fish7_TimeLeft,1147.591
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.925
Pond3Fish8_PondTime,64.703
Pond3Fish8_PondOutcome,66
Pond3Fish8_TotalOutcome,66
Pond3Fish8_TimeLeft,1137.695
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.037
Pond3Fish9_PondTime,75.706
Pond3Fish9_PondOutcome,78
Pond3Fish9_TotalOutcome,78
Pond3Fish9_TimeLeft,1126.691
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,0.905
Pond3Fish10_PondTime,88.097
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,90
Pond3Fish10_TimeLeft,1114.301
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,1.534
PondTime,88.744
TimeLeft,1113.132
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,15.843713979702443
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.744
Pond12Fish1_PondTime,9.843
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,100
Pond12Fish1_TimeLeft,1086.785
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.254
Pond12Fish2_PondTime,18.285
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,120
Pond12Fish2_TimeLeft,1078.343
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.938
Pond12Fish3_PondTime,27.334
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,130
Pond12Fish3_TimeLeft,1069.294
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.055
Pond12Fish4_PondTime,37.221
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,140
Pond12Fish4_TimeLeft,1059.406
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.848
Pond12Fish5_PondTime,48.18
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,150
Pond12Fish5_TimeLeft,1048.448
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.657
Pond12Fish6_PondTime,60.568
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,160
Pond12Fish6_TimeLeft,1036.06
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.063
Pond12Fish7_PondTime,74.968
Pond12Fish7_PondOutcome,90
Pond12Fish7_TotalOutcome,180
Pond12Fish7_TimeLeft,1021.659
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,0.881
Pond12Fish8_PondTime,92.34
Pond12Fish8_PondOutcome,100
Pond12Fish8_TotalOutcome,190
Pond12Fish8_TimeLeft,1004.288
Type,RT
FishN,13
