,5a563395e0cf3d0001262ecf
PlayerDetails,5a563395e0cf3d0001262ecf
GameCompleted,declined
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,18
Pond7_Type,N
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:12:46 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.58
Pond9Fish1_PondTime,8.613
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1193.786
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.847
Pond9Fish2_PondTime,15.78
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1186.619
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.039
Pond9Fish3_PondTime,23.165
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,30
Pond9Fish3_TimeLeft,1179.234
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.262
Pond9Fish4_PondTime,31.019
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,40
Pond9Fish4_TimeLeft,1171.38
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.216
Pond9Fish5_PondTime,39.437
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1162.961
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.962
Pond9Fish6_PondTime,48.49
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1153.909
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.955
Pond9Fish7_PondTime,58.376
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,70
Pond9Fish7_TimeLeft,1144.023
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,0.385
PondTime,68.813
TimeLeft,1133.084
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,17.61948316823691
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.06
Pond1Fish1_PondTime,7.819
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,81
Pond1Fish1_TimeLeft,1106.945
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.711
Pond1Fish2_PondTime,13.987
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,92
Pond1Fish2_TimeLeft,1100.777
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.874
Pond1Fish3_PondTime,20.372
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,103
Pond1Fish3_TimeLeft,1094.392
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.126
Pond1Fish4_PondTime,27.057
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,114
Pond1Fish4_TimeLeft,1087.706
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.509
Pond1Fish5_PondTime,34.06
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,125
Pond1Fish5_TimeLeft,1080.704
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.123
Pond1Fish6_PondTime,41.446
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,136
Pond1Fish6_TimeLeft,1073.318
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,-1
Pond1Fish7_PondTime,49.331
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,136
Pond1Fish7_TimeLeft,1065.433
Type,N
FishN,19
Fish,8
