,5a6ca245d5d4cb0001d66195
PlayerDetails,5a6ca245d5d4cb0001d66195
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,15
Pond9_Type,N
Pond9_#Fishes,15
Pond5_Type,N
Pond5_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,17
Pond4_Type,N
Pond4_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:45:55 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.574
Pond7Fish1_PondTime,7.646
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1194.752
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.99
Pond7Fish2_PondTime,13.606
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1188.792
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.755
Pond7Fish3_PondTime,19.771
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
Pond7Fish3_TimeLeft,1182.627
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,0.901
Pond7Fish4_PondTime,26.185
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,48
Pond7Fish4_TimeLeft,1176.212
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.032
Pond7Fish5_PondTime,32.884
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1169.514
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.13
Pond7Fish6_PondTime,39.902
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,72
Pond7Fish6_TimeLeft,1162.496
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.082
Pond7Fish7_PondTime,47.335
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,84
Pond7Fish7_TimeLeft,1155.062
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,0.638
Pond7Fish8_PondTime,55.228
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,96
Pond7Fish8_TimeLeft,1147.17
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,0.878
Pond7Fish9_PondTime,63.637
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,108
Pond7Fish9_TimeLeft,1138.761
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.452
Pond7Fish10_PondTime,72.724
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,120
Pond7Fish10_TimeLeft,1129.674
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.917
PondTime,73.3
TimeLeft,1128.578
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,11.10864877467975
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.21
Pond2Fish1_PondTime,8.602
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,122
Pond2Fish1_TimeLeft,1108.21
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.972
Pond2Fish2_PondTime,15.608
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,134
Pond2Fish2_TimeLeft,1101.205
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.773
Pond2Fish3_PondTime,23.01
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,146
Pond2Fish3_TimeLeft,1093.803
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.845
Pond2Fish4_PondTime,30.87
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,158
Pond2Fish4_TimeLeft,1085.943
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,0.9
Pond2Fish5_PondTime,39.286
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,170
Pond2Fish5_TimeLeft,1077.527
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.138
Pond2Fish6_PondTime,48.349
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,182
Pond2Fish6_TimeLeft,1068.463
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.824
Pond2Fish7_PondTime,58.251
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,194
Pond2Fish7_TimeLeft,1058.561
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,gray
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.099
Pond2Fish8_PondTime,69.226
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,196
Pond2Fish8_TimeLeft,1047.587
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.812
Pond2Fish9_PondTime,81.633
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,208
Pond2Fish9_TimeLeft,1035.18
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,1.108
Pond2Fish10_PondTime,96.049
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,220
Pond2Fish10_TimeLeft,1020.764
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,0.804
PondTime,96.154
TimeLeft,1020.14
PondOutcome,100
TotalOutcome,220
PondStart,PondStart
PondIntroTime,12.238353504799306
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.892
Pond9Fish1_PondTime,8.618
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,231
Pond9Fish1_TimeLeft,998.662
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.835
Pond9Fish2_PondTime,15.632
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,242
Pond9Fish2_TimeLeft,991.648
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.935
Pond9Fish3_PondTime,23.031
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,253
Pond9Fish3_TimeLeft,984.248
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.988
Pond9Fish4_PondTime,30.883
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,264
Pond9Fish4_TimeLeft,976.397
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.741
Pond9Fish5_PondTime,39.294
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,275
Pond9Fish5_TimeLeft,967.985
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
