,5b0f33dd1e55760001b9a9ce
PlayerDetails,5b0f33dd1e55760001b9a9ce
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,N
Pond12_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,13
Pond5_Type,RD
Pond5_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,17
Pond11_Type,RD
Pond11_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,18
Pond1_Type,RD
Pond1_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 04:11:10 GMT-0700 (Mountain Standard Time)
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.353
Pond12Fish1_PondTime,8.564
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,11
Pond12Fish1_TimeLeft,1193.835
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.593
Pond12Fish2_PondTime,15.548
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,22
Pond12Fish2_TimeLeft,1186.851
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.459
Pond12Fish3_PondTime,22.912
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,33
Pond12Fish3_TimeLeft,1179.487
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,30.795
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,33
Pond12Fish4_TimeLeft,1171.604
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.139
Pond12Fish5_PondTime,39.163
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,44
Pond12Fish5_TimeLeft,1163.236
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.65
Pond12Fish6_PondTime,48.195
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,55
Pond12Fish6_TimeLeft,1154.204
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.584
Pond12Fish7_PondTime,58.06
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,66
Pond12Fish7_TimeLeft,1144.339
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.059
Pond12Fish8_PondTime,68.993
Pond12Fish8_PondOutcome,77
Pond12Fish8_TotalOutcome,77
Pond12Fish8_TimeLeft,1133.406
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
