,5b62ceb8e04cbf0001407a5d
PlayerDetails,5b62ceb8e04cbf0001407a5d
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RD
Pond1_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,16
Pond11_Type,N
Pond11_#Fishes,17
Pond10_Type,RD
Pond10_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,13
Pond6_Type,N
Pond6_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:39:48 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.237
Pond1Fish1_PondTime,8.018
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1194.38
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.112
Pond1Fish2_PondTime,14.39
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1188.007
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,1.027
Pond1Fish3_PondTime,21.054
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,36
Pond1Fish3_TimeLeft,1181.344
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.436
Pond1Fish4_PondTime,28.038
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,48
Pond1Fish4_TimeLeft,1174.36
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,1.303
Pond1Fish5_PondTime,35.416
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1166.982
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.267
Pond1Fish6_PondTime,43.229
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,72
Pond1Fish6_TimeLeft,1159.169
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.122
Pond1Fish7_PondTime,51.602
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,84
Pond1Fish7_TimeLeft,1150.796
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.416
Pond1Fish8_PondTime,60.643
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,96
Pond1Fish8_TimeLeft,1141.755
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,gray
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.749
Pond1Fish9_PondTime,70.581
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,98
Pond1Fish9_TimeLeft,1131.817
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.301
Pond1Fish10_PondTime,81.52
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,110
Pond1Fish10_TimeLeft,1120.877
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,1.287
Pond1Fish11_PondTime,93.9
Pond1Fish11_PondOutcome,122
Pond1Fish11_TotalOutcome,122
Pond1Fish11_TimeLeft,1108.497
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,1.169
Pond1Fish12_PondTime,108.274
Pond1Fish12_PondOutcome,134
Pond1Fish12_TotalOutcome,134
Pond1Fish12_TimeLeft,1094.124
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,1.252
Pond1Fish13_PondTime,125.656
Pond1Fish13_PondOutcome,146
Pond1Fish13_TotalOutcome,146
Pond1Fish13_TimeLeft,1076.742
Type,RD
FishN,19
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,15
Pond1Fish14_CatchTime,1.181
Pond1Fish14_PondTime,148.027
Pond1Fish14_PondOutcome,158
Pond1Fish14_TotalOutcome,158
Pond1Fish14_TimeLeft,1054.371
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.94
PondTime,148.349
TimeLeft,1053.544
PondOutcome,158
TotalOutcome,158
PondStart,PondStart
PondIntroTime,18.723367578350008
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.457
Pond3Fish1_PondTime,8.027
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,170
Pond3Fish1_TimeLeft,1026.161
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.309
Pond3Fish2_PondTime,14.409
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,182
Pond3Fish2_TimeLeft,1019.779
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.294
Pond3Fish3_PondTime,21.06
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,194
Pond3Fish3_TimeLeft,1013.128
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.264
Pond3Fish4_PondTime,28.036
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,206
Pond3Fish4_TimeLeft,1006.152
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.71
Pond3Fish5_PondTime,35.417
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,218
Pond3Fish5_TimeLeft,998.771
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.501
Pond3Fish6_PondTime,43.238
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,220
Pond3Fish6_TimeLeft,990.95
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.204
Pond3Fish7_PondTime,51.617
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,232
Pond3Fish7_TimeLeft,982.571
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.141
Pond3Fish8_PondTime,60.648
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,244
Pond3Fish8_TimeLeft,973.54
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.368
Pond3Fish9_PondTime,70.524
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,256
Pond3Fish9_TimeLeft,963.664
PondEnd_LastFish,9
FishN,19
Type,RD
GiveUpTime,1.44
PondTime,71.539
TimeLeft,962.144
PondOutcome,98
TotalOutcome,256
PondStart,PondStart
PondIntroTime,12.84375537186861
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.56
Pond4Fish1_PondTime,8.583
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,266
Pond4Fish1_TimeLeft,940.095
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.281
Pond4Fish2_PondTime,15.575
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,276
Pond4Fish2_TimeLeft,933.103
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.317
Pond4Fish3_PondTime,22.942
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,286
Pond4Fish3_TimeLeft,925.736
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.325
Pond4Fish4_PondTime,30.77
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,296
Pond4Fish4_TimeLeft,917.907
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.431
Pond4Fish5_PondTime,39.152
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,306
Pond4Fish5_TimeLeft,909.526
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.038
Pond4Fish6_PondTime,48.2
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,316
Pond4Fish6_TimeLeft,900.478
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.439
Pond4Fish7_PondTime,58.076
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,326
Pond4Fish7_TimeLeft,890.602
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.241
Pond4Fish8_PondTime,69.029
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,336
Pond4Fish8_TimeLeft,879.649
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.857
Pond4Fish9_PondTime,81.557
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,346
Pond4Fish9_TimeLeft,867.121
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.588
Pond4Fish10_PondTime,95.926
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,356
Pond4Fish10_TimeLeft,852.752
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,1.398
Pond4Fish11_PondTime,113.304
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,366
Pond4Fish11_TimeLeft,835.374
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,1.25
