,5b684ef482d9db000118fc0a
PlayerDetails,5b684ef482d9db000118fc0a
GameCompleted,declined
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,13
Pond6_Type,N
Pond6_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,13
Pond11_Type,N
Pond11_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:35:55 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.122
Pond2Fish1_PondTime,9.275
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1193.113
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.432
Pond2Fish2_PondTime,17.115
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,24
Pond2Fish2_TimeLeft,1185.273
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.11
Pond2Fish3_PondTime,25.522
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,36
Pond2Fish3_TimeLeft,1176.866
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
