,5b7c0430c4e6ad0001d35067
PlayerDetails,5b7c0430c4e6ad0001d35067
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,14
Pond2_Type,RD
Pond2_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 13:15:14 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.014
Pond1Fish1_PondTime,9.798
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1192.599
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.28
Pond1Fish2_PondTime,18.213
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1184.185
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.106
Pond1Fish3_PondTime,27.283
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1175.115
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.082
Pond1Fish4_PondTime,37.208
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1165.19
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.188
Pond1Fish5_PondTime,48.185
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1154.213
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.319
Pond1Fish6_PondTime,60.602
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,60
Pond1Fish6_TimeLeft,1141.796
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.386
Pond1Fish7_PondTime,75.022
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,70
Pond1Fish7_TimeLeft,1127.376
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.153
Pond1Fish8_PondTime,92.452
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,80
Pond1Fish8_TimeLeft,1109.946
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.264
Pond1Fish9_PondTime,114.858
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,90
Pond1Fish9_TimeLeft,1087.54
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,20
Pond1Fish10_CatchTime,1.937
Pond1Fish10_PondTime,147.515
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,100
Pond1Fish10_TimeLeft,1054.883
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,1.271
PondTime,148.684
TimeLeft,1053.211
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,13.711243756115437
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.188
Pond11Fish1_PondTime,9.33
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,112
Pond11Fish1_TimeLeft,1029.52
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.003
Pond11Fish2_PondTime,17.195
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,124
Pond11Fish2_TimeLeft,1021.655
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.861
Pond11Fish3_PondTime,25.603
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,136
Pond11Fish3_TimeLeft,1013.247
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,gray
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.203
Pond11Fish4_PondTime,34.686
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,138
Pond11Fish4_TimeLeft,1004.163
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.151
Pond11Fish5_PondTime,44.577
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,150
Pond11Fish5_TimeLeft,994.273
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,gray
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.977
Pond11Fish6_PondTime,55.566
Pond11Fish6_PondOutcome,52
Pond11Fish6_TotalOutcome,152
Pond11Fish6_TimeLeft,983.284
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.106
Pond11Fish7_PondTime,67.989
Pond11Fish7_PondOutcome,64
Pond11Fish7_TotalOutcome,164
Pond11Fish7_TimeLeft,970.861
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.289
Pond11Fish8_PondTime,82.413
Pond11Fish8_PondOutcome,76
Pond11Fish8_TotalOutcome,176
Pond11Fish8_TimeLeft,956.437
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.306
Pond11Fish9_PondTime,99.82
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,188
Pond11Fish9_TimeLeft,939.03
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.617
Pond11Fish10_PondTime,122.223
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,200
Pond11Fish10_TimeLeft,916.627
Type,RD
FishN,14
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,20
Pond11Fish11_CatchTime,1.452
Pond11Fish11_PondTime,154.628
Pond11Fish11_PondOutcome,112
Pond11Fish11_TotalOutcome,212
Pond11Fish11_TimeLeft,884.222
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,14.178
PondTime,168.471
TimeLeft,869.876
PondOutcome,112
TotalOutcome,212
PondStart,PondStart
PondIntroTime,19.67293712310493
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.305
Pond7Fish1_PondTime,8.946
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,222
Pond7Fish1_TimeLeft,840.585
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.298
Pond7Fish2_PondTime,16.365
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,232
Pond7Fish2_TimeLeft,833.166
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.346
Pond7Fish3_PondTime,24.24
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,242
Pond7Fish3_TimeLeft,825.29
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.124
Pond7Fish4_PondTime,32.661
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,252
Pond7Fish4_TimeLeft,816.87
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.075
Pond7Fish5_PondTime,41.749
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,262
Pond7Fish5_TimeLeft,807.782
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.952
Pond7Fish6_PondTime,51.655
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,272
Pond7Fish6_TimeLeft,797.876
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.104
Pond7Fish7_PondTime,62.64
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,282
Pond7Fish7_TimeLeft,786.89
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.324
Pond7Fish8_PondTime,75.05
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,292
Pond7Fish8_TimeLeft,774.48
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.087
Pond7Fish9_PondTime,89.46
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,302
Pond7Fish9_TimeLeft,760.071
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.167
Pond7Fish10_PondTime,106.881
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,312
Pond7Fish10_TimeLeft,742.649
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,golden
Pond7Fish11_FishLatency,15
Pond7Fish11_CatchTime,1.128
Pond7Fish11_PondTime,129.304
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,332
Pond7Fish11_TimeLeft,720.227
Type,RT
FishN,15
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,20
Pond7Fish12_CatchTime,-1
Pond7Fish12_PondTime,161.809
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,332
Pond7Fish12_TimeLeft,687.722
PondEnd_LastFish,12
FishN,15
Type,RT
GiveUpTime,87.411
PondTime,216.055
TimeLeft,632.973
PondOutcome,120
TotalOutcome,332
PondStart,PondStart
PondIntroTime,15.002248054370284
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.022
Pond2Fish1_PondTime,8.327
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,344
Pond2Fish1_TimeLeft,608.965
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.135
Pond2Fish2_PondTime,15.018
Pond2Fish2_PondOutcome,24
