,5b848525338a930001566c95
PlayerDetails,5b848525338a930001566c95
GameCompleted,exited
Selected ponds in the game,=======
Pond2_Type,N
Pond2_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,15
Pond6_Type,RT
Pond6_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:44:30 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.339
Pond2Fish1_PondTime,9.269
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,1193.13
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.47
Pond2Fish2_PondTime,17.077
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,1185.321
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.744
Pond2Fish3_PondTime,25.436
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,33
Pond2Fish3_TimeLeft,1176.963
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.819
Pond2Fish4_PondTime,34.464
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,44
Pond2Fish4_TimeLeft,1167.935
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.698
Pond2Fish5_PondTime,44.327
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,55
Pond2Fish5_TimeLeft,1158.072
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.145
Pond2Fish6_PondTime,55.255
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,66
Pond2Fish6_TimeLeft,1147.144
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.024
Pond2Fish7_PondTime,67.62
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,77
Pond2Fish7_TimeLeft,1134.779
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,10.129
