,5bbae55a6322c500015a2b5b
PlayerDetails,5bbae55a6322c500015a2b5b
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,16
Pond5_Type,RD
Pond5_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,17
Pond9_Type,RD
Pond9_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,18
Pond1_Type,RD
Pond1_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 02:12:52 GMT-0800 (Pacific Standard Time)
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.741
Pond2Fish1_PondTime,8.312
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1194.084
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.349
Pond2Fish2_PondTime,14.961
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,24
Pond2Fish2_TimeLeft,1187.436
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.21
Pond2Fish3_PondTime,21.952
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,26
Pond2Fish3_TimeLeft,1180.445
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.389
Pond2Fish4_PondTime,29.314
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,38
Pond2Fish4_TimeLeft,1173.083
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.694
Pond2Fish5_PondTime,37.13
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1165.267
PondEnd_LastFish,5
FishN,12
Type,RD
GiveUpTime,2.525
PondTime,39.552
TimeLeft,1162.34
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,10.384784038178623
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.598
Pond8Fish1_PondTime,8.283
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,60
