,5bf192725431290001de4ba3
PlayerDetails,5bf192725431290001de4ba3
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:40:00 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.287
Pond6Fish1_PondTime,7.62
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.779
Type,RD
FishN,19
Fish,2
