,5c1a210b97ae160001392b05
PlayerDetails,5c1a210b97ae160001392b05
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RD
Pond3_#Fishes,12
Pond8_Type,RD
Pond8_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,19
Pond4_Type,RD
Pond4_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,17
Pond9_Type,RT
Pond9_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 14:49:35 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.281
Pond3Fish1_PondTime,9.737
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,12
Pond3Fish1_TimeLeft,1192.66
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.214
