,5c345ebad4f77a0001a91ec0
PlayerDetails,5c345ebad4f77a0001a91ec0
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,N
Pond2_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,17
Pond7_Type,RT
Pond7_#Fishes,18
Pond11_Type,RD
Pond11_#Fishes,19
Pond8_Type,N
Pond8_#Fishes,17
Pond9_Type,RD
Pond9_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,19
Pond7_Type,RD
Pond7_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:21:16 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.487
Pond2Fish1_PondTime,8.912
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,1193.486
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.202
Pond2Fish2_PondTime,16.307
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,1186.091
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.425
Pond2Fish3_PondTime,24.149
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,33
