,5c4410ed3526c80001fcaea8
PlayerDetails,5c4410ed3526c80001fcaea8
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,14
Pond11_Type,RT
Pond11_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:18:06 GMT+0100 (Ora standard dell’Europa centrale)
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.58
Pond6Fish1_PondTime,7.656
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.741
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.592
Pond6Fish2_PondTime,13.583
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1188.814
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.223
Pond6Fish3_PondTime,19.726
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
