,5c5322c607ccef0001939694
PlayerDetails,5c5322c607ccef0001939694
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,14
Pond10_Type,RD
Pond10_#Fishes,13
Pond1_Type,RD
Pond1_#Fishes,14
Pond2_Type,RD
Pond2_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,19
Pond9_Type,RD
Pond9_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:39:10 GMT+0100 (heure normale d’Europe centrale)
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,9.837
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,0
Pond7Fish1_TimeLeft,1192.56
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.663
Pond7Fish2_PondTime,18.234
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,11
Pond7Fish2_TimeLeft,1184.164
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
