,5c58039de9813700018aef07
PlayerDetails,5c58039de9813700018aef07
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,18
Pond5_Type,N
Pond5_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,19
Pond7_Type,RD
Pond7_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,14
Pond10_Type,N
Pond10_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:33:37 GMT+0100 (közép-európai téli idő)
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.123
Pond6Fish1_PondTime,8.993
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1193.404
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,14.955
Pond6Fish2_PondOutcome,10
Pond6Fish2_TotalOutcome,10
Pond6Fish2_TimeLeft,1187.442
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.415
Pond6Fish3_PondTime,21.075
Pond6Fish3_PondOutcome,20
Pond6Fish3_TotalOutcome,20
Pond6Fish3_TimeLeft,1181.322
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.924
Pond6Fish4_PondTime,27.439
Pond6Fish4_PondOutcome,30
Pond6Fish4_TotalOutcome,30
Pond6Fish4_TimeLeft,1174.958
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,34.155
Pond6Fish5_PondOutcome,30
Pond6Fish5_TotalOutcome,30
Pond6Fish5_TimeLeft,1168.242
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.911
Pond6Fish6_PondTime,41.141
Pond6Fish6_PondOutcome,40
Pond6Fish6_TotalOutcome,40
Pond6Fish6_TimeLeft,1161.256
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.101
Pond6Fish7_PondTime,48.51
Pond6Fish7_PondOutcome,50
Pond6Fish7_TotalOutcome,50
Pond6Fish7_TimeLeft,1153.887
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,golden
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.086
Pond6Fish8_PondTime,56.322
Pond6Fish8_PondOutcome,70
Pond6Fish8_TotalOutcome,70
Pond6Fish8_TimeLeft,1146.075
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,0.781
PondTime,64.635
TimeLeft,1137.257
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,15.274730403907597
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.127
Pond12Fish1_PondTime,7.8
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,80
Pond12Fish1_TimeLeft,1113.554
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.133
Pond12Fish2_PondTime,13.916
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,90
Pond12Fish2_TimeLeft,1107.439
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.11
Pond12Fish3_PondTime,20.281
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,100
Pond12Fish3_TimeLeft,1101.074
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.124
Pond12Fish4_PondTime,26.931
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,110
Pond12Fish4_TimeLeft,1094.424
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.939
Pond12Fish5_PondTime,33.915
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,120
Pond12Fish5_TimeLeft,1087.44
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.542
Pond12Fish6_PondTime,41.285
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,140
Pond12Fish6_TimeLeft,1080.07
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.952
Pond12Fish7_PondTime,49.1
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,150
Pond12Fish7_TimeLeft,1072.255
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,1.102
Pond12Fish8_PondTime,57.464
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,160
Pond12Fish8_TimeLeft,1063.891
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.309
Pond12Fish9_PondTime,66.497
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,170
Pond12Fish9_TimeLeft,1054.858
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,1.837
PondTime,67.849
TimeLeft,1053.004
PondOutcome,100
TotalOutcome,170
PondStart,PondStart
PondIntroTime,11.924460253212601
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.96
Pond5Fish1_PondTime,9.75
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,181
Pond5Fish1_TimeLeft,1030.707
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.818
Pond5Fish2_PondTime,18.118
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,192
Pond5Fish2_TimeLeft,1022.339
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.767
Pond5Fish3_PondTime,27.216
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,203
Pond5Fish3_TimeLeft,1013.241
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.858
Pond5Fish4_PondTime,37.083
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,214
Pond5Fish4_TimeLeft,1003.374
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.98
Pond5Fish5_PondTime,48.019
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,225
Pond5Fish5_TimeLeft,992.438
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.743
Pond5Fish6_PondTime,60.383
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,236
Pond5Fish6_TimeLeft,980.074
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.983
Pond5Fish7_PondTime,74.749
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,247
Pond5Fish7_TimeLeft,965.707
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,-1
Pond5Fish8_PondTime,92.184
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,247
Pond5Fish8_TimeLeft,948.273
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,23.155
PondTime,97.103
TimeLeft,942.851
PondOutcome,77
TotalOutcome,247
PondStart,PondStart
PondIntroTime,14.99774388037622
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.995
Pond11Fish1_PondTime,7.618
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,257
Pond11Fish1_TimeLeft,919.605
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.063
Pond11Fish2_PondTime,13.522
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,267
Pond11Fish2_TimeLeft,913.701
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,1.162
Pond11Fish3_PondTime,19.635
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,277
Pond11Fish3_TimeLeft,907.588
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.218
Pond11Fish4_PondTime,26.003
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,287
Pond11Fish4_TimeLeft,901.22
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.017
Pond11Fish5_PondTime,32.65
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,297
Pond11Fish5_TimeLeft,894.573
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.164
Pond11Fish6_PondTime,39.633
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,307
Pond11Fish6_TimeLeft,887.59
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.835
Pond11Fish7_PondTime,47.148
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,317
Pond11Fish7_TimeLeft,880.074
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.15
Pond11Fish8_PondTime,54.967
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,327
Pond11Fish8_TimeLeft,872.256
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,1.029
Pond11Fish9_PondTime,63.333
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,337
Pond11Fish9_TimeLeft,863.889
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,1.293
Pond11Fish10_PondTime,72.365
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,347
Pond11Fish10_TimeLeft,854.857
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,1.001
Pond11Fish11_PondTime,82.234
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,357
Pond11Fish11_TimeLeft,844.989
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,1.02
Pond11Fish12_PondTime,93.165
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,367
Pond11Fish12_TimeLeft,834.058
Type,RT
FishN,14
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,8.571428571428571
Pond11Fish13_CatchTime,1.501
Pond11Fish13_PondTime,105.533
Pond11Fish13_PondOutcome,130
Pond11Fish13_TotalOutcome,377
Pond11Fish13_TimeLeft,821.689
Type,RT
FishN,14
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,10
Pond11Fish14_CatchTime,1.159
Pond11Fish14_PondTime,119.899
Pond11Fish14_PondOutcome,140
Pond11Fish14_TotalOutcome,387
Pond11Fish14_TimeLeft,807.324
PondEnd_LastFish,14
FishN,14
Type,RT
GiveUpTime,0.82
PondTime,120.084
TimeLeft,806.637
PondOutcome,140
TotalOutcome,387
PondStart,PondStart
PondIntroTime,13.251987008843571
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.976
Pond7Fish1_PondTime,7.602
Pond7Fish1_PondOutcome,12
