,5c72c2c2bd8e0000017307b3
PlayerDetails,5c72c2c2bd8e0000017307b3
GameCompleted,declined
Selected ponds in the game,=======
Pond8_Type,RD
Pond8_#Fishes,15
Pond10_Type,RT
Pond10_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:38:35 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.417
Pond8Fish1_PondTime,8.571
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1193.828
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.493
Pond8Fish2_PondTime,15.551
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,24
Pond8Fish2_TimeLeft,1186.848
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.9
Pond8Fish3_PondTime,23.126
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,36
Pond8Fish3_TimeLeft,1179.273
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,31.003
Pond8Fish4_PondOutcome,36
Pond8Fish4_TotalOutcome,36
Pond8Fish4_TimeLeft,1171.396
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.6
Pond8Fish5_PondTime,39.365
Pond8Fish5_PondOutcome,48
Pond8Fish5_TotalOutcome,48
Pond8Fish5_TimeLeft,1163.034
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,48.456
Pond8Fish6_PondOutcome,48
Pond8Fish6_TotalOutcome,48
Pond8Fish6_TimeLeft,1153.943
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.76
Pond8Fish7_PondTime,58.381
Pond8Fish7_PondOutcome,60
Pond8Fish7_TotalOutcome,60
Pond8Fish7_TimeLeft,1144.018
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.628
Pond8Fish8_PondTime,69.308
Pond8Fish8_PondOutcome,72
Pond8Fish8_TotalOutcome,72
Pond8Fish8_TimeLeft,1133.091
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.597
Pond8Fish9_PondTime,81.665
Pond8Fish9_PondOutcome,84
Pond8Fish9_TotalOutcome,84
Pond8Fish9_TimeLeft,1120.733
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,-1
Pond8Fish10_PondTime,96.084
Pond8Fish10_PondOutcome,84
Pond8Fish10_TotalOutcome,84
Pond8Fish10_TimeLeft,1106.315
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,gray
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.849
Pond8Fish11_PondTime,113.621
Pond8Fish11_PondOutcome,86
Pond8Fish11_TotalOutcome,86
Pond8Fish11_TimeLeft,1088.778
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,18.427
PondTime,131.947
TimeLeft,1069.949
PondOutcome,86
TotalOutcome,86
PondStart,PondStart
PondIntroTime,14.324339609593153
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.866
Pond10Fish1_PondTime,8.211
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,96
Pond10Fish1_TimeLeft,1046.776
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.762
Pond10Fish2_PondTime,14.637
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,106
