,5c7b73bb19b8d40017e6d392
PlayerDetails,5c7b73bb19b8d40017e6d392
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 21:28:42 GMT+1100 (Australian Eastern Daylight Time)
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.143
Pond10Fish1_PondTime,7.637
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1194.757
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.709
Pond10Fish2_PondTime,13.589
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1188.805
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.26
Pond10Fish3_PondTime,19.792
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,36
Pond10Fish3_TimeLeft,1182.603
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.163
Pond10Fish4_PondTime,26.21
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,48
Pond10Fish4_TimeLeft,1176.185
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.262
Pond10Fish5_PondTime,33.003
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,60
Pond10Fish5_TimeLeft,1169.392
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.285714285714286
