,5c9a8b09597af60011351647
PlayerDetails,5c9a8b09597af60011351647
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,13
Pond11_Type,N
Pond11_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,19
Pond9_Type,RD
Pond9_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 13:13:30 GMT+0000 (Hora de Greenwich)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.457
Pond2Fish1_PondTime,9.304
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1193.092
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.794
Pond2Fish2_PondTime,17.135
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1185.262
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.482
Pond2Fish3_PondTime,25.527
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1176.87
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.189
Pond2Fish4_PondTime,34.58
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1167.816
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.996
Pond2Fish5_PondTime,44.454
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1157.943
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,1.625
PondTime,45.265
TimeLeft,1156.62
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,17.5324239814654
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.207
Pond11Fish1_PondTime,9.797
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,61
Pond11Fish1_TimeLeft,1128.651
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.694
Pond11Fish2_PondTime,18.172
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,72
Pond11Fish2_TimeLeft,1120.276
Type,N
FishN,14
