,5c9c7cc072bf7f0017b6b798
PlayerDetails,5c9c7cc072bf7f0017b6b798
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,18
Pond2_Type,N
Pond2_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:05:39 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.234
Pond8Fish1_PondTime,7.886
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1194.51
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.399
Pond8Fish2_PondTime,14.046
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,22
Pond8Fish2_TimeLeft,1188.351
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.301
Pond8Fish3_PondTime,20.425
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,33
Pond8Fish3_TimeLeft,1181.972
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.15
Pond8Fish4_PondTime,27.087
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,44
Pond8Fish4_TimeLeft,1175.31
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.316
Pond8Fish5_PondTime,34.103
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,55
Pond8Fish5_TimeLeft,1168.294
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.136
Pond8Fish6_PondTime,41.493
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,66
Pond8Fish6_TimeLeft,1160.904
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.204
Pond8Fish7_PondTime,49.345
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,77
Pond8Fish7_TimeLeft,1153.052
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.87
Pond8Fish8_PondTime,57.732
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,88
Pond8Fish8_TimeLeft,1144.665
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.223
Pond8Fish9_PondTime,66.779
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,99
Pond8Fish9_TimeLeft,1135.618
Type,N
FishN,17
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.43
Pond8Fish10_PondTime,76.678
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,110
Pond8Fish10_TimeLeft,1125.719
Type,N
FishN,17
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.289
Pond8Fish11_PondTime,87.664
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,121
Pond8Fish11_TimeLeft,1114.733
Type,N
FishN,17
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.078
Pond8Fish12_PondTime,100.065
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,132
Pond8Fish12_TimeLeft,1102.331
Type,N
FishN,17
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.277
Pond8Fish13_PondTime,114.47
Pond8Fish13_PondOutcome,143
Pond8Fish13_TotalOutcome,143
Pond8Fish13_TimeLeft,1087.927
Type,N
FishN,17
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,1.045
Pond8Fish14_PondTime,131.845
Pond8Fish14_PondOutcome,154
Pond8Fish14_TotalOutcome,154
Pond8Fish14_TimeLeft,1070.551
PondEnd_LastFish,14
FishN,17
Type,N
GiveUpTime,16.254
PondTime,147.347
TimeLeft,1054.538
PondOutcome,154
TotalOutcome,154
PondStart,PondStart
PondIntroTime,19.946099023800343
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.036
Pond6Fish1_PondTime,8.029
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,165
Pond6Fish1_TimeLeft,1025.943
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.963
Pond6Fish2_PondTime,14.394
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,176
Pond6Fish2_TimeLeft,1019.579
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.251
Pond6Fish3_PondTime,21.065
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,187
Pond6Fish3_TimeLeft,1012.908
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.221
Pond6Fish4_PondTime,28.06
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,198
Pond6Fish4_TimeLeft,1005.913
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.977
Pond6Fish5_PondTime,35.44
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,209
Pond6Fish5_TimeLeft,998.533
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.254
Pond6Fish6_PondTime,43.265
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,220
Pond6Fish6_TimeLeft,990.708
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.231
Pond6Fish7_PondTime,51.639
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,231
Pond6Fish7_TimeLeft,982.333
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.213
Pond6Fish8_PondTime,60.67
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,242
Pond6Fish8_TimeLeft,973.303
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.164
Pond6Fish9_PondTime,70.535
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,253
Pond6Fish9_TimeLeft,963.438
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.267
Pond6Fish10_PondTime,81.478
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,264
Pond6Fish10_TimeLeft,952.495
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.136
Pond6Fish11_PondTime,93.895
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,275
Pond6Fish11_TimeLeft,940.078
Type,N
FishN,19
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.038
Pond6Fish12_PondTime,108.261
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,286
Pond6Fish12_TimeLeft,925.712
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,13.736
PondTime,121.242
TimeLeft,912.222
PondOutcome,132
TotalOutcome,286
PondStart,PondStart
PondIntroTime,10.406434871256351
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.359
Pond3Fish1_PondTime,8.898
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,297
Pond3Fish1_TimeLeft,892.305
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.813
Pond3Fish2_PondTime,16.266
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,308
Pond3Fish2_TimeLeft,884.937
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.052
Pond3Fish3_PondTime,24.094
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,319
Pond3Fish3_TimeLeft,877.108
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.287
Pond3Fish4_PondTime,32.479
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,330
Pond3Fish4_TimeLeft,868.724
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
