,5cc555d346fb4500171c0a9e
PlayerDetails,5cc555d346fb4500171c0a9e
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RD
Pond3_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,18
Pond11_Type,RD
Pond11_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,16
Pond2_Type,N
Pond2_#Fishes,17
Pond10_Type,RD
Pond10_#Fishes,19
Pond12_Type,RD
Pond12_#Fishes,19
Pond7_Type,RD
Pond7_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,19
Pond4_Type,N
Pond4_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,16
Pond8_Type,N
Pond8_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:48:58 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.014
Pond3Fish1_PondTime,9.729
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,12
Pond3Fish1_TimeLeft,1192.669
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.115
Pond3Fish2_PondTime,18.095
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,24
Pond3Fish2_TimeLeft,1184.304
PondEnd_LastFish,2
FishN,19
Type,RD
GiveUpTime,1.088
PondTime,18.498
TimeLeft,1183.397
PondOutcome,24
TotalOutcome,24
PondStart,PondStart
PondIntroTime,15.596452502068132
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.086
Pond9Fish1_PondTime,7.797
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,36
Pond9Fish1_TimeLeft,1159.389
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.123
Pond9Fish2_PondTime,13.916
Pond9Fish2_PondOutcome,24
