,5cc75fed260ac90018dead06
PlayerDetails,5cc75fed260ac90018dead06
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,17
Pond9_Type,RD
Pond9_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,17
Pond6_Type,RD
Pond6_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:38:46 GMT+0000 (GMT)
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.027
Pond11Fish1_PondTime,7.791
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1194.608
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.251
Pond11Fish2_PondTime,13.907
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1188.491
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.08
Pond11Fish3_PondTime,20.275
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1182.124
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.681
Pond11Fish4_PondTime,26.925
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1175.474
PondEnd_LastFish,4
FishN,14
Type,N
GiveUpTime,0.983
PondTime,27.79
TimeLeft,1174.105
PondOutcome,44
TotalOutcome,44
PondStart,PondStart
PondIntroTime,14.465927376877517
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.114
Pond6Fish1_PondTime,8.281
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,56
Pond6Fish1_TimeLeft,1150.721
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4
