,5cd7cccadcabe8001d0413ac
PlayerDetails,5cd7cccadcabe8001d0413ac
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,19
Pond4_Type,RD
Pond4_#Fishes,15
Pond8_Type,RD
Pond8_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:14:41 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.363
Pond6Fish1_PondTime,7.609
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.789
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.464
Pond6Fish2_PondTime,13.502
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1188.897
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.326
Pond6Fish3_PondTime,19.621
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,40
