,5cefbe6f1234ed0001970821
PlayerDetails,5cefbe6f1234ed0001970821
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,19
Pond12_Type,RD
Pond12_#Fishes,17
Pond11_Type,N
Pond11_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:42:46 GMT+0100 (Central European Standard Time)
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.245
Pond7Fish1_PondTime,7.687
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1194.71
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.592
Pond7Fish2_PondTime,13.61
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1188.788
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.252
Pond7Fish3_PondTime,25.285
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1177.113
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.197
Pond7Fish4_PondTime,31.688
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1170.71
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.243
Pond7Fish5_PondTime,38.373
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1164.025
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.115
Pond7Fish6_PondTime,45.427
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,66
Pond7Fish6_TimeLeft,1156.971
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.632
Pond7Fish7_PondTime,52.847
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,77
Pond7Fish7_TimeLeft,1149.551
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.35
Pond7Fish8_PondTime,60.733
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,88
Pond7Fish8_TimeLeft,1141.665
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.279
Pond7Fish9_PondTime,69.157
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,99
Pond7Fish9_TimeLeft,1133.24
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,1.256
PondTime,69.896
TimeLeft,1131.998
PondOutcome,99
TotalOutcome,99
PondStart,PondStart
PondIntroTime,11.751080676913261
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.285
Pond12Fish1_PondTime,8.092
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,111
Pond12Fish1_TimeLeft,1127.187
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.169
Pond12Fish2_PondTime,14.474
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,123
Pond12Fish2_TimeLeft,1120.805
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.045
Pond12Fish3_PondTime,21.172
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,135
Pond12Fish3_TimeLeft,1114.107
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.048
Pond12Fish4_PondTime,28.223
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,147
Pond12Fish4_TimeLeft,1107.055
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.135
Pond12Fish5_PondTime,35.654
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,149
Pond12Fish5_TimeLeft,1099.625
Type,RD
