,5cfa36435c147c0019d33963
PlayerDetails,5cfa36435c147c0019d33963
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RD
Pond1_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,12
Pond2_Type,RT
Pond2_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:13:57 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.982
Pond1Fish1_PondTime,8.06
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1194.337
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.987
Pond1Fish2_PondTime,14.455
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1187.943
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,gray
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,1.026
Pond1Fish3_PondTime,21.128
Pond1Fish3_PondOutcome,26
Pond1Fish3_TotalOutcome,26
Pond1Fish3_TimeLeft,1181.27
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.013
Pond1Fish4_PondTime,28.117
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,38
Pond1Fish4_TimeLeft,1174.281
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.79
Pond1Fish5_PondTime,35.507
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1166.891
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.716
Pond1Fish6_PondTime,43.365
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,62
Pond1Fish6_TimeLeft,1159.033
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.976
Pond1Fish7_PondTime,51.742
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,74
Pond1Fish7_TimeLeft,1150.656
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,0.91
Pond1Fish8_PondTime,60.802
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,86
Pond1Fish8_TimeLeft,1141.596
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.339
Pond1Fish9_PondTime,70.69
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,98
Pond1Fish9_TimeLeft,1131.708
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.293
Pond1Fish10_PondTime,81.646
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,110
Pond1Fish10_TimeLeft,1120.752
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,0.455
PondTime,93.75
TimeLeft,1108.142
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,18.16026568878442
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.171
Pond8Fish1_PondTime,8.04
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,122
Pond8Fish1_TimeLeft,1081.295
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.191
Pond8Fish2_PondTime,14.409
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,124
Pond8Fish2_TimeLeft,1074.925
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.934
Pond8Fish3_PondTime,21.084
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,136
Pond8Fish3_TimeLeft,1068.251
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.126
Pond8Fish4_PondTime,28.073
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,148
Pond8Fish4_TimeLeft,1061.261
PondEnd_LastFish,4
FishN,17
Type,RD
GiveUpTime,1.462
PondTime,28.866
TimeLeft,1059.965
PondOutcome,38
TotalOutcome,148
PondStart,PondStart
PondIntroTime,10.966926023829728
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,12.115
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,148
Pond6Fish1_TimeLeft,1034.102
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.082
Pond6Fish2_PondTime,18.018
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,168
Pond6Fish2_TimeLeft,1028.199
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.888
Pond6Fish3_PondTime,24.156
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,188
Pond6Fish3_TimeLeft,1022.061
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.281
Pond6Fish4_PondTime,30.526
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,198
Pond6Fish4_TimeLeft,1015.691
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.189
Pond6Fish5_PondTime,37.182
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,208
Pond6Fish5_TimeLeft,1009.035
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.119
Pond6Fish6_PondTime,44.159
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,218
Pond6Fish6_TimeLeft,1002.058
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,0.852
PondTime,51.43
TimeLeft,994.281
PondOutcome,70
TotalOutcome,218
PondStart,PondStart
PondIntroTime,11.876754343975335
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.954
Pond7Fish1_PondTime,9.785
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,229
Pond7Fish1_TimeLeft,971.916
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.445
Pond7Fish2_PondTime,18.175
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,240
Pond7Fish2_TimeLeft,963.526
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.528
Pond7Fish3_PondTime,27.232
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,251
Pond7Fish3_TimeLeft,954.469
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.849
Pond7Fish4_PondTime,37.108
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,262
Pond7Fish4_TimeLeft,944.593
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
