,5d2181c7ef44b700015f022f
PlayerDetails,5d2181c7ef44b700015f022f
GameCompleted,exited
Selected ponds in the game,=======
Pond12_Type,RD
Pond12_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,13
Pond8_Type,RT
Pond8_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 21:02:16 GMT+1030 (Australian Central Daylight Time)
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.993
Pond12Fish1_PondTime,8.293
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1194.104
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.118
Pond12Fish2_PondTime,15.011
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,24
Pond12Fish2_TimeLeft,1187.386
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.931
Pond12Fish3_PondTime,22.087
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,36
Pond12Fish3_TimeLeft,1180.31
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.031
Pond12Fish4_PondTime,29.569
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,48
Pond12Fish4_TimeLeft,1172.828
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.241
Pond12Fish5_PondTime,37.473
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,60
Pond12Fish5_TimeLeft,1164.924
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.226
Pond12Fish6_PondTime,45.913
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,72
Pond12Fish6_TimeLeft,1156.484
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.365
Pond12Fish7_PondTime,55.038
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,84
Pond12Fish7_TimeLeft,1147.359
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.318
Pond12Fish8_PondTime,65
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,96
Pond12Fish8_TimeLeft,1137.397
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.238
Pond12Fish9_PondTime,76.037
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,108
Pond12Fish9_TimeLeft,1126.36
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.434
Pond12Fish10_PondTime,88.489
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,120
Pond12Fish10_TimeLeft,1113.908
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.076
Pond12Fish11_PondTime,102.933
