,5d4855cf4574f300013a7945
PlayerDetails,5d4855cf4574f300013a7945
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,17
Pond1_Type,RD
Pond1_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:54:52 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.06
Pond2Fish1_PondTime,9.319
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1193.079
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.106
Pond2Fish2_PondTime,17.173
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1185.225
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.788
Pond2Fish3_PondTime,25.592
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1176.806
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.833
Pond2Fish4_PondTime,34.626
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1167.772
Type,RT
FishN,12
