,5d494d958e0dc5001a99a392
PlayerDetails,5d494d958e0dc5001a99a392
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,19
Pond8_Type,N
Pond8_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,17
Pond7_Type,RD
Pond7_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:42:57 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.349
Pond10Fish1_PondTime,7.612
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.786
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,0.967
Pond10Fish2_PondTime,13.498
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1188.9
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.915
Pond10Fish3_PondTime,19.626
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1182.773
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.778
Pond10Fish4_PondTime,25.997
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1176.402
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.16
Pond10Fish5_PondTime,32.647
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1169.752
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.03
Pond10Fish6_PondTime,39.63
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,70
Pond10Fish6_TimeLeft,1162.769
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.431
Pond10Fish7_PondTime,47
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,80
Pond10Fish7_TimeLeft,1155.399
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.081
Pond10Fish8_PondTime,54.814
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,90
Pond10Fish8_TimeLeft,1147.585
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.28
Pond10Fish9_PondTime,63.18
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,100
Pond10Fish9_TimeLeft,1139.219
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.121
Pond10Fish10_PondTime,72.214
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1130.185
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.845
Pond10Fish11_PondTime,82.085
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,120
Pond10Fish11_TimeLeft,1120.314
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,1.107
PondTime,82.234
TimeLeft,1119.663
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,18.72924542054534
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.951
Pond9Fish1_PondTime,7.619
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,140
Pond9Fish1_TimeLeft,1092.698
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.021
Pond9Fish2_PondTime,13.515
Pond9Fish2_PondOutcome,40
Pond9Fish2_TotalOutcome,160
Pond9Fish2_TimeLeft,1086.802
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.983
Pond9Fish3_PondTime,19.634
Pond9Fish3_PondOutcome,50
Pond9Fish3_TotalOutcome,170
Pond9Fish3_TimeLeft,1080.683
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.122
Pond9Fish4_PondTime,26.005
Pond9Fish4_PondOutcome,60
Pond9Fish4_TotalOutcome,180
Pond9Fish4_TimeLeft,1074.312
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.064
Pond9Fish5_PondTime,32.651
Pond9Fish5_PondOutcome,70
Pond9Fish5_TotalOutcome,190
Pond9Fish5_TimeLeft,1067.666
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.984
Pond9Fish6_PondTime,39.634
Pond9Fish6_PondOutcome,80
Pond9Fish6_TotalOutcome,200
Pond9Fish6_TimeLeft,1060.683
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.972
Pond9Fish7_PondTime,47
Pond9Fish7_PondOutcome,90
Pond9Fish7_TotalOutcome,210
Pond9Fish7_TimeLeft,1053.317
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.208
Pond9Fish8_PondTime,54.813
Pond9Fish8_PondOutcome,100
Pond9Fish8_TotalOutcome,220
Pond9Fish8_TimeLeft,1045.504
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.871
Pond9Fish9_PondTime,63.185
Pond9Fish9_PondOutcome,110
Pond9Fish9_TotalOutcome,230
Pond9Fish9_TimeLeft,1037.132
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.665
Pond9Fish10_PondTime,72.22
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,240
Pond9Fish10_TimeLeft,1028.097
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,1.186
PondTime,73.284
TimeLeft,1026.53
PondOutcome,120
TotalOutcome,240
PondStart,PondStart
PondIntroTime,10.998137269634753
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.355
Pond8Fish1_PondTime,9.73
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,251
Pond8Fish1_TimeLeft,1005.171
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.959
Pond8Fish2_PondTime,18.101
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,262
Pond8Fish2_TimeLeft,996.8
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.021
Pond8Fish3_PondTime,27.135
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,273
Pond8Fish3_TimeLeft,987.766
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.082
Pond8Fish4_PondTime,37.004
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,284
Pond8Fish4_TimeLeft,977.897
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.023
Pond8Fish5_PondTime,47.954
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,295
