,5d4ef0b76ef8ea0019b6c3ad
PlayerDetails,5d4ef0b76ef8ea0019b6c3ad
GameCompleted,declined
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:34:18 GMT+0100 (Srednjeevropski standardni čas)
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,9.465
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,0
Pond7Fish1_TimeLeft,1192.928
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,17.376
Pond7Fish2_PondOutcome,0
Pond7Fish2_TotalOutcome,0
Pond7Fish2_TimeLeft,1185.017
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.66
Pond7Fish3_PondTime,25.906
Pond7Fish3_PondOutcome,11
Pond7Fish3_TotalOutcome,11
Pond7Fish3_TimeLeft,1176.487
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.467
Pond7Fish4_PondTime,34.955
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,22
Pond7Fish4_TimeLeft,1167.438
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,1.341
Pond7Fish5_PondTime,44.889
Pond7Fish5_PondOutcome,33
Pond7Fish5_TotalOutcome,33
Pond7Fish5_TimeLeft,1157.503
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,2.043
Pond7Fish6_PondTime,55.938
Pond7Fish6_PondOutcome,44
Pond7Fish6_TotalOutcome,44
Pond7Fish6_TimeLeft,1146.454
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,68.428
Pond7Fish7_PondOutcome,44
Pond7Fish7_TotalOutcome,44
Pond7Fish7_TimeLeft,1133.965
PondEnd_LastFish,7
FishN,15
Type,N
GiveUpTime,13.835
PondTime,69.674
TimeLeft,1132.209
PondOutcome,44
TotalOutcome,44
PondStart,PondStart
PondIntroTime,19.09234710969031
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,8.46
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,44
Pond6Fish1_TimeLeft,1104.021
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.559
Pond6Fish2_PondTime,15.161
Pond6Fish2_PondOutcome,10
Pond6Fish2_TotalOutcome,54
Pond6Fish2_TimeLeft,1097.32
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.685
Pond6Fish3_PondTime,22.227
Pond6Fish3_PondOutcome,20
Pond6Fish3_TotalOutcome,64
Pond6Fish3_TimeLeft,1090.254
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.441
Pond6Fish4_PondTime,29.639
Pond6Fish4_PondOutcome,30
Pond6Fish4_TotalOutcome,74
Pond6Fish4_TimeLeft,1082.842
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,37.575
Pond6Fish5_PondOutcome,30
Pond6Fish5_TotalOutcome,74
Pond6Fish5_TimeLeft,1074.906
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,-1
Pond6Fish6_PondTime,46.024
Pond6Fish6_PondOutcome,30
Pond6Fish6_TotalOutcome,74
Pond6Fish6_TimeLeft,1066.457
