,5d5fc2010740150018a0291e
PlayerDetails,5d5fc2010740150018a0291e
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,16
Pond11_Type,RD
Pond11_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:27:18 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.831
Pond3Fish1_PondTime,8.872
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.527
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.817
Pond3Fish2_PondTime,16.228
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1186.171
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.649
Pond3Fish3_PondTime,24.039
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1178.36
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.9
Pond3Fish4_PondTime,32.396
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1170.003
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.8
Pond3Fish5_PondTime,41.423
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1160.976
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.729
Pond3Fish6_PondTime,51.279
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,60
Pond3Fish6_TimeLeft,1151.12
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.762
Pond3Fish7_PondTime,62.209
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,70
Pond3Fish7_TimeLeft,1140.19
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.823
Pond3Fish8_PondTime,74.567
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,80
Pond3Fish8_TimeLeft,1127.832
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,0.466
PondTime,88.293
TimeLeft,1113.605
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,10.826227439101785
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.796
Pond6Fish1_PondTime,9.724
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,92
Pond6Fish1_TimeLeft,1092.441
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.87
Pond6Fish2_PondTime,18.082
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,94
Pond6Fish2_TimeLeft,1084.083
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.88
Pond6Fish3_PondTime,27.107
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,106
Pond6Fish3_TimeLeft,1075.058
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.037
Pond6Fish4_PondTime,36.962
Pond6Fish4_PondOutcome,28
Pond6Fish4_TotalOutcome,108
Pond6Fish4_TimeLeft,1065.203
PondEnd_LastFish,4
FishN,19
Type,RD
GiveUpTime,1.374
PondTime,37.577
TimeLeft,1064.087
PondOutcome,28
TotalOutcome,108
PondStart,PondStart
PondIntroTime,16.786072282120585
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.799
Pond9Fish1_PondTime,9.27
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,120
Pond9Fish1_TimeLeft,1037.422
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.855
Pond9Fish2_PondTime,17.083
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,132
Pond9Fish2_TimeLeft,1029.609
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,gray
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.87
Pond9Fish3_PondTime,25.612
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,134
Pond9Fish3_TimeLeft,1021.08
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,34.684
Pond9Fish4_PondOutcome,26
Pond9Fish4_TotalOutcome,134
Pond9Fish4_TimeLeft,1012.008
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,0.794
Pond9Fish5_PondTime,44.545
Pond9Fish5_PondOutcome,38
Pond9Fish5_TotalOutcome,146
Pond9Fish5_TimeLeft,1002.147
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,gray
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.989
Pond9Fish6_PondTime,55.476
Pond9Fish6_PondOutcome,40
Pond9Fish6_TotalOutcome,148
Pond9Fish6_TimeLeft,991.216
PondEnd_LastFish,6
FishN,16
Type,RD
GiveUpTime,0.794
PondTime,67.794
TimeLeft,978.396
PondOutcome,40
TotalOutcome,148
PondStart,PondStart
PondIntroTime,14.598475105594844
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.724
Pond2Fish1_PondTime,7.602
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,160
Pond2Fish1_TimeLeft,955.587
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.867
Pond2Fish2_PondTime,13.488
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,162
Pond2Fish2_TimeLeft,949.7
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.636
Pond2Fish3_PondTime,19.595
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,174
Pond2Fish3_TimeLeft,943.594
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.468
Pond2Fish4_PondTime,25.955
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,186
Pond2Fish4_TimeLeft,937.234
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.714
Pond2Fish5_PondTime,32.601
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,198
Pond2Fish5_TimeLeft,930.588
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,0.856
Pond2Fish6_PondTime,39.575
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,210
Pond2Fish6_TimeLeft,923.614
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
