,5d67b6d92b7448000173d95a
PlayerDetails,5d67b6d92b7448000173d95a
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:58:11 GMT+0100 (hora estándar de Europa central)
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,7.692
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,0
Pond1Fish1_TimeLeft,1194.703
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.031
Pond1Fish2_PondTime,13.623
Pond1Fish2_PondOutcome,11
Pond1Fish2_TotalOutcome,11
Pond1Fish2_TimeLeft,1188.772
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.063
Pond1Fish3_PondTime,19.786
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,22
Pond1Fish3_TimeLeft,1182.608
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.879
Pond1Fish4_PondTime,26.152
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,33
Pond1Fish4_TimeLeft,1176.242
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,0.916
Pond1Fish5_PondTime,32.812
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,44
Pond1Fish5_TimeLeft,1169.583
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.948
Pond1Fish6_PondTime,39.831
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,55
Pond1Fish6_TimeLeft,1162.564
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.958
Pond1Fish7_PondTime,47.224
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,66
Pond1Fish7_TimeLeft,1155.171
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.94
Pond1Fish8_PondTime,55.099
Pond1Fish8_PondOutcome,77
Pond1Fish8_TotalOutcome,77
Pond1Fish8_TimeLeft,1147.295
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.984
Pond1Fish9_PondTime,63.499
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,88
Pond1Fish9_TimeLeft,1138.896
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.865
Pond1Fish10_PondTime,72.531
Pond1Fish10_PondOutcome,99
Pond1Fish10_TotalOutcome,99
Pond1Fish10_TimeLeft,1129.863
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.169
Pond1Fish11_PondTime,82.437
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,110
Pond1Fish11_TimeLeft,1119.957
Type,N
FishN,19
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.004
Pond1Fish12_PondTime,93.411
Pond1Fish12_PondOutcome,121
Pond1Fish12_TotalOutcome,121
Pond1Fish12_TimeLeft,1108.983
Type,N
FishN,19
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.9
Pond1Fish13_PondTime,105.802
Pond1Fish13_PondOutcome,132
Pond1Fish13_TotalOutcome,132
Pond1Fish13_TimeLeft,1096.593
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,10.562
PondTime,115.447
TimeLeft,1086.442
PondOutcome,132
TotalOutcome,132
PondStart,PondStart
PondIntroTime,14.555591573007405
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,golden
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.168
Pond10Fish1_PondTime,8.596
Pond10Fish1_PondOutcome,20
Pond10Fish1_TotalOutcome,152
Pond10Fish1_TimeLeft,1062.638
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.034
Pond10Fish2_PondTime,15.618
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,162
Pond10Fish2_TimeLeft,1055.616
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.005
Pond10Fish3_PondTime,23.024
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,172
Pond10Fish3_TimeLeft,1048.21
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.056
Pond10Fish4_PondTime,30.883
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,182
Pond10Fish4_TimeLeft,1040.35
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.991
Pond10Fish5_PondTime,39.273
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,192
Pond10Fish5_TimeLeft,1031.961
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.046
Pond10Fish6_PondTime,48.337
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,212
Pond10Fish6_TimeLeft,1022.896
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.984
Pond10Fish7_PondTime,58.235
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,222
Pond10Fish7_TimeLeft,1012.999
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.016
Pond10Fish8_PondTime,69.216
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,232
Pond10Fish8_TimeLeft,1002.018
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.163
Pond10Fish9_PondTime,81.612
Pond10Fish9_PondOutcome,110
Pond10Fish9_TotalOutcome,242
Pond10Fish9_TimeLeft,989.622
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,0.529
PondTime,96
TimeLeft,974.728
PondOutcome,110
TotalOutcome,242
PondStart,PondStart
PondIntroTime,12.743151390459388
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.176
Pond11Fish1_PondTime,8.934
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,253
Pond11Fish1_TimeLeft,952.414
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.814
Pond11Fish2_PondTime,16.46
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,264
Pond11Fish2_TimeLeft,944.888
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.051
Pond11Fish3_PondTime,24.312
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,275
Pond11Fish3_TimeLeft,937.036
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.033
Pond11Fish4_PondTime,32.704
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,286
Pond11Fish4_TimeLeft,928.643
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.888
Pond11Fish5_PondTime,41.772
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,297
Pond11Fish5_TimeLeft,919.575
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.075
Pond11Fish6_PondTime,51.678
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,308
Pond11Fish6_TimeLeft,909.669
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.032
Pond11Fish7_PondTime,62.678
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,319
Pond11Fish7_TimeLeft,898.67
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.934
Pond11Fish8_PondTime,75.084
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,330
Pond11Fish8_TimeLeft,886.264
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.19
Pond11Fish9_PondTime,89.486
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,341
Pond11Fish9_TimeLeft,871.861
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.532
PondTime,106.677
TimeLeft,854.166
PondOutcome,99
TotalOutcome,341
PondStart,PondStart
PondIntroTime,14.910535735543817
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.777
Pond4Fish1_PondTime,8.415
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,353
Pond4Fish1_TimeLeft,830.215
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.91
Pond4Fish2_PondTime,15.071
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,365
Pond4Fish2_TimeLeft,823.559
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.009
Pond4Fish3_PondTime,22.086
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,377
Pond4Fish3_TimeLeft,816.543
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.083
Pond4Fish4_PondTime,29.48
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,389
Pond4Fish4_TimeLeft,809.15
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.082
Pond4Fish5_PondTime,37.336
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,401
Pond4Fish5_TimeLeft,801.294
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.363
Pond4Fish6_PondTime,45.755
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,413
Pond4Fish6_TimeLeft,792.874
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.044
Pond4Fish7_PondTime,54.827
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,425
Pond4Fish7_TimeLeft,783.802
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.081
Pond4Fish8_PondTime,64.716
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,437
Pond4Fish8_TimeLeft,773.914
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,gray
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.36
Pond4Fish9_PondTime,75.691
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,439
Pond4Fish9_TimeLeft,762.938
PondEnd_LastFish,9
FishN,16
Type,RD
GiveUpTime,10.869
PondTime,86.139
TimeLeft,751.989
PondOutcome,98
TotalOutcome,439
PondStart,PondStart
PondIntroTime,19.717197180725634
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.091
Pond2Fish1_PondTime,8.32
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,449
Pond2Fish1_TimeLeft,723.316
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.768
Pond2Fish2_PondTime,15.082
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,459
Pond2Fish2_TimeLeft,716.553
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.022
Pond2Fish3_PondTime,22.101
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,469
Pond2Fish3_TimeLeft,709.535
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.082
Pond2Fish4_PondTime,29.497
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,479
Pond2Fish4_TimeLeft,702.138
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
