,5d829551e3b1b6000118eb90
PlayerDetails,5d829551e3b1b6000118eb90
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RT
Pond8_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:41:14 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.86
Pond8Fish1_PondTime,8.898
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,10
Pond8Fish1_TimeLeft,1193.501
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.028
Pond8Fish2_PondTime,16.289
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,20
Pond8Fish2_TimeLeft,1186.11
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.787
Pond8Fish3_PondTime,24.139
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,30
Pond8Fish3_TimeLeft,1178.26
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.964
Pond8Fish4_PondTime,32.53
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,40
Pond8Fish4_TimeLeft,1169.869
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.89
Pond8Fish5_PondTime,41.593
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,50
Pond8Fish5_TimeLeft,1160.806
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.782
Pond8Fish6_PondTime,51.5
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,60
Pond8Fish6_TimeLeft,1150.899
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.784
Pond8Fish7_PondTime,62.542
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,70
Pond8Fish7_TimeLeft,1139.856
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.229
Pond8Fish8_PondTime,74.94
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,80
Pond8Fish8_TimeLeft,1127.459
PondEnd_LastFish,8
FishN,17
Type,RT
GiveUpTime,1.16
PondTime,75.517
TimeLeft,1126.371
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,11.48176580434665
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.976
Pond11Fish1_PondTime,9.767
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,92
Pond11Fish1_TimeLeft,1104.49
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,gray
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.807
Pond11Fish2_PondTime,18.158
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,94
Pond11Fish2_TimeLeft,1096.099
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.87
Pond11Fish3_PondTime,27.237
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,106
Pond11Fish3_TimeLeft,1087.02
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.961
Pond11Fish4_PondTime,37.128
Pond11Fish4_PondOutcome,38
