,5d8564939c1e25000108b508
PlayerDetails,5d8564939c1e25000108b508
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,17
Pond11_Type,RD
Pond11_#Fishes,15
Pond1_Type,RD
Pond1_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,15
Pond5_Type,N
Pond5_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,17
Pond10_Type,RD
Pond10_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 04:31:24 GMT-0600 (Central Standard Time)
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.615
Pond9Fish1_PondTime,9.752
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1192.644
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.831
Pond9Fish2_PondTime,18.256
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1184.141
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.31
Pond9Fish3_PondTime,27.313
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1175.084
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.369
Pond9Fish4_PondTime,37.191
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,38
Pond9Fish4_TimeLeft,1165.206
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.122
Pond9Fish5_PondTime,48.138
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1154.258
PondEnd_LastFish,5
FishN,16
Type,RD
GiveUpTime,1.974
PondTime,49.446
TimeLeft,1152.447
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,18.066730522550642
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
