,5daccba5ad1260001762c25b
PlayerDetails,5daccba5ad1260001762c25b
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,14
Pond4_Type,RD
Pond4_#Fishes,18
Pond3_Type,RD
Pond3_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
