,5dc84bb688f2805cb5b23ee5
PlayerDetails,5dc84bb688f2805cb5b23ee5
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RD
Pond8_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 13:04:03 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.497
Pond8Fish1_PondTime,9.716
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1192.682
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,18.136
Pond8Fish2_PondOutcome,12
Pond8Fish2_TotalOutcome,12
