,5dd12755381b671ab8552989
PlayerDetails,5dd12755381b671ab8552989
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,19
Pond4_Type,RD
Pond4_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,16
Pond1_Type,RD
Pond1_#Fishes,12
Pond12_Type,N
Pond12_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:45:47 GMT+0100 (hora estándar de Europa central)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.187
Pond2Fish1_PondTime,7.654
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1194.744
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.053
