,5ddb705139bca1aab0b157d8
PlayerDetails,5ddb705139bca1aab0b157d8
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,18
Pond5_Type,N
Pond5_#Fishes,13
Pond6_Type,RD
Pond6_#Fishes,17
Pond8_Type,RT
Pond8_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:40:19 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.763
Pond10Fish1_PondTime,8.545
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1193.853
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.641
Pond10Fish2_PondTime,15.527
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1186.872
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.911
