, 5de6e9a748241d67583acb96
PlayerDetails, 5de6e9a748241d67583acb96
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,13
Pond6_Type,N
Pond6_#Fishes,15
Pond2_Type,RT
Pond2_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:49:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης)
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,7.781
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,0
Pond7Fish1_TimeLeft,1194.449
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,13.78
Pond7Fish2_PondOutcome,0
Pond7Fish2_TotalOutcome,0
