,5dfe286653e846ad86a798f8
PlayerDetails,5dfe286653e846ad86a798f8
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,17
Pond5_Type,RD
Pond5_#Fishes,18
Pond11_Type,RD
Pond11_#Fishes,17
Pond10_Type,RT
Pond10_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,13
Pond9_Type,N
Pond9_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,16
Pond7_Type,RD
Pond7_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:32:08 GMT+0100 (CET)
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.265
Pond12Fish1_PondTime,8.277
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1194.121
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.184
Pond12Fish2_PondTime,14.928
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,20
Pond12Fish2_TimeLeft,1187.47
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.979
Pond12Fish3_PondTime,21.909
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,30
Pond12Fish3_TimeLeft,1180.489
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,29.347
Pond12Fish4_PondOutcome,30
Pond12Fish4_TotalOutcome,30
Pond12Fish4_TimeLeft,1173.051
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.01
Pond12Fish5_PondTime,37.19
Pond12Fish5_PondOutcome,40
Pond12Fish5_TotalOutcome,40
Pond12Fish5_TimeLeft,1165.208
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.961
Pond12Fish6_PondTime,45.562
Pond12Fish6_PondOutcome,50
Pond12Fish6_TotalOutcome,50
Pond12Fish6_TimeLeft,1156.836
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.818
Pond12Fish7_PondTime,54.711
Pond12Fish7_PondOutcome,60
Pond12Fish7_TotalOutcome,60
Pond12Fish7_TimeLeft,1147.687
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.913
Pond12Fish8_PondTime,64.794
Pond12Fish8_PondOutcome,70
Pond12Fish8_TotalOutcome,70
Pond12Fish8_TimeLeft,1137.604
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.073
Pond12Fish9_PondTime,75.729
Pond12Fish9_PondOutcome,80
Pond12Fish9_TotalOutcome,80
Pond12Fish9_TimeLeft,1126.669
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,2.538
PondTime,77.548
TimeLeft,1124.346
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,17.65109724830836
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.973
Pond2Fish1_PondTime,7.615
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,90
Pond2Fish1_TimeLeft,1098.451
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.027
Pond2Fish2_PondTime,13.515
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,100
Pond2Fish2_TimeLeft,1092.551
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
